Chapter,Character,N,A,I,C,DC,DN,Score
15,Bingley,3,2,0,0,0,3,8
15,Elizabeth,6,0,1,0,0,6,13
15,Jane,5,0,1,0,0,5,11
15,Kitty,4,2,1,0,0,4,11
15,Lydia,5,2,1,0,0,5,13
15,Mary,0,0,0,0,0,1,1
15,Miss Bennet,2,0,4,0,0,2,8
15,Mr. Bennet,3,0,0,0,0,3,6
15,Mr. Collins,9,2,7,1,0,9,28
15,Mr. Darcy,3,0,1,0,0,3,7
15,Mr. Denny,4,2,0,0,0,4,10
15,Mr. Jones,0,0,0,0,0,1,1
15,Mr. Philips,0,0,0,0,0,1,1
15,Mr. Wickham,5,2,0,0,0,5,12
15,Mrs. Bennet,4,1,3,0,0,4,12
15,Mrs. Philips,5,1,2,0,0,5,13
15,char_101,0,1,0,0,0,0,1
15,char_102,0,0,0,0,0,0,0
15,char_36,0,0,0,0,0,0,0
15,char_52,0,1,1,0,0,0,2
15,char_57,0,0,0,0,0,0,0
15,char_61,0,0,0,0,0,0,0
15,char_63,0,0,0,0,0,0,0
15,char_69,0,0,0,0,0,0,0
15,char_72,0,0,1,0,0,0,1
15,char_76,0,2,2,0,0,0,4
15,char_85,0,0,1,0,0,0,1
15,char_86,0,0,0,0,0,0,0
15,char_98,0,0,0,1,0,0,1
15,the Longbourn,0,0,0,0,0,1,1
15,the Miss Bennets,0,0,0,0,0,1,1
15,the Philipses,0,0,0,0,0,1,1
16,De Bourgh,0,0,0,0,0,1,1
16,Denny,1,0,0,0,1,0,2
16,Elizabeth,18,1,36,24,0,18,97
16,Lady Anne Darcy,0,0,0,0,1,0,1
16,Lady Catherine,7,0,1,0,5,2,15
16,Lydia,4,0,0,0,0,4,8
16,Meryton,2,0,0,0,1,1,4
16,Miss Bennet,2,0,0,0,2,0,4
16,Miss Bingley,1,0,0,1,0,1,3
16,Miss Darcy,2,0,0,0,2,0,4
16,Miss de Bourgh,0,0,0,0,1,0,1
16,Mr.,0,0,0,0,0,1,1
16,Mr.,0,0,0,0,0,1,1
16,Mr. Bingley,3,0,2,0,1,0,6
16,Mr. Collins,9,0,8,2,2,7,28
16,Mr. Darcy,18,2,17,0,11,2,50
16,Mr. Philips,0,0,0,0,1,0,1
16,Mr. Wickham,19,4,20,30,0,19,92
16,Mrs. Bennet,0,0,0,0,0,1,1
16,Mrs. Philips,9,0,6,0,0,9,24
16,Rosings,0,0,0,0,0,1,1
16,Vain,0,0,0,0,0,1,1
16,char_102,0,0,0,0,0,0,0
16,char_104,0,0,0,0,0,0,0
16,char_111,0,0,0,0,0,0,0
16,char_117,0,0,0,0,0,0,0
16,char_138,0,0,0,0,0,0,0
16,char_142,0,0,0,0,0,0,0
16,char_146,0,0,0,0,0,0,0
16,char_149,0,0,0,0,0,0,0
16,char_155,0,0,0,0,0,0,0
16,char_163,0,0,0,0,0,0,0
16,char_176,0,1,1,0,0,0,2
16,char_179,0,0,1,0,0,0,1
16,char_185,0,0,0,0,0,0,0
16,char_29,0,0,0,0,0,0,0
16,char_34,0,2,1,0,0,0,3
16,char_46,0,1,1,0,0,0,2
16,char_54,0,0,0,0,0,0,0
16,char_72,0,0,0,0,0,0,0
16,char_73,0,0,0,0,0,0,0
16,char_74,0,0,2,2,0,0,4
16,char_75,0,1,3,1,0,0,5
16,char_76,0,0,0,2,0,0,2
16,char_81,0,0,0,0,0,0,0
16,char_84,0,0,0,0,0,0,0
16,char_95,0,0,0,0,0,0,0
17,Catherine,3,0,1,0,0,3,7
17,Elizabeth,10,0,7,0,2,8,27
17,Jane,6,1,7,7,1,4,26
17,Lydia,2,0,1,0,0,2,5
17,Mary,1,0,1,2,0,1,5
17,Mr. Bingley,6,1,0,0,1,5,13
17,Mr. Collins,4,0,7,2,0,4,17
17,Mr. Darcy,4,0,1,0,2,2,9
17,Mr. Wickham,8,1,0,0,1,7,17
17,Mrs. Bennet,3,0,1,0,0,3,7
17,Netherfield,0,0,0,0,0,1,1
17,Society,0,0,0,0,1,0,1
17,char_17,0,0,0,0,0,0,0
17,char_19,0,0,0,0,0,0,0
17,char_23,0,0,0,0,0,0,0
17,char_24,0,0,0,0,0,0,0
17,char_26,0,0,0,0,0,0,0
17,char_28,0,0,0,0,0,0,0
17,char_41,0,0,0,0,0,0,0
17,char_44,0,0,1,0,0,0,1
17,char_45,0,0,1,0,0,0,1
17,char_50,0,0,0,0,0,0,0
17,the younger Miss Bennets,0,0,0,0,0,1,1
18,Charlotte Lucas,4,0,0,2,0,4,10
18,Elizabeth,29,8,41,20,3,25,126
18,George Wickham,5,0,1,0,1,1,8
18,Hunsford,0,0,0,0,1,0,1
18,Jane,12,1,5,4,0,12,34
18,Lady Catherine,5,0,0,0,4,0,9
18,Lady Lucas,4,0,1,0,0,4,9
18,Lord,0,0,0,0,1,0,1
18,Lydia,3,0,0,1,0,3,7
18,Mary,7,1,1,0,0,7,16
18,Miss Bennet,0,0,0,0,1,0,1
18,Miss Bingley,4,1,7,3,0,4,19
18,Miss De Bourgh,0,0,0,0,1,0,1
18,Miss Lucas,2,0,0,0,0,2,4
18,Mr. Bennet,2,0,1,0,0,2,5
18,Mr. Bingley,19,1,8,0,5,14,47
18,Mr. Collins,12,3,9,7,0,12,43
18,Mr. Darcy,40,6,16,13,11,23,109
18,Mr. Darcy;--but,0,0,0,0,1,0,1
18,Mr. Denny,0,0,0,0,0,1,1
18,Mr. Wickham,12,0,2,1,4,7,26
18,Mrs. Bennet,7,0,3,0,0,7,17
18,Mrs. Hurst,2,0,0,0,0,2,4
18,Sir William,4,0,1,1,2,2,10
18,char_102,0,1,0,0,0,0,1
18,char_112,0,1,0,0,0,0,1
18,char_124,0,1,0,0,0,0,1
18,char_134,0,0,0,0,0,0,0
18,char_142,0,0,0,0,0,0,0
18,char_144,0,0,0,0,0,0,0
18,char_147,0,0,0,0,0,0,0
18,char_148,0,0,0,0,0,0,0
18,char_151,0,0,2,0,0,0,2
18,char_152,0,0,0,0,0,0,0
18,char_157,0,0,1,0,0,0,1
18,char_162,0,1,1,0,0,0,2
18,char_179,0,0,0,0,0,0,0
18,char_180,0,0,0,0,0,0,0
18,char_183,0,0,0,1,0,0,1
18,char_194,0,0,0,0,0,0,0
18,char_196,0,0,1,0,0,0,1
18,char_197,0,0,0,0,0,0,0
18,char_201,0,1,0,0,0,0,1
18,char_207,0,0,0,0,0,0,0
18,char_30,0,0,0,0,0,0,0
18,char_31,0,0,0,0,0,0,0
18,char_35,0,0,1,0,0,0,1
18,char_40,0,0,0,0,0,0,0
18,char_41,0,1,1,0,0,0,2
18,char_42,0,0,3,0,0,0,3
18,char_43,0,0,1,3,0,0,4
18,char_44,0,1,0,0,0,0,1
18,char_48,0,0,0,0,0,0,0
18,char_51,0,1,4,11,0,0,16
18,char_52,0,3,0,0,0,0,3
18,char_57,0,0,0,0,0,0,0
18,char_59,0,0,0,1,0,0,1
18,char_62,0,0,3,4,0,0,7
18,char_63,0,0,4,0,0,0,4
18,char_70,0,1,0,0,0,0,1
18,char_71,0,0,0,0,0,0,0
18,char_75,0,0,1,0,0,0,1
18,char_76,0,0,0,0,0,0,0
18,char_78,0,0,0,0,0,0,0
18,char_80,0,0,1,0,0,0,1
18,char_84,0,0,0,0,0,0,0
18,char_88,0,0,0,0,0,0,0
18,char_90,0,0,0,0,0,0,0
18,char_91,0,0,1,0,0,0,1
18,char_93,0,0,0,1,0,0,1
18,char_97,0,0,2,0,0,0,2
18,the Bingleys,0,0,0,0,0,1,1
19,Dear ma’am,1,1,0,0,1,0,3
19,Elizabeth,14,2,4,8,3,9,40
19,Kitty,5,1,2,0,4,1,13
19,Miss De Bourgh,2,0,0,0,2,0,4
19,Mr. Collins,11,4,13,9,4,6,47
19,Mrs. Bennet,3,1,0,0,0,3,7
19,Mrs. Jenkinson,0,0,0,0,1,0,1
19,char_12,0,2,1,1,0,0,4
19,char_14,0,0,0,0,0,0,0
19,char_15,0,1,0,2,0,0,3
19,char_16,0,0,1,1,0,0,2
19,char_19,0,0,1,2,0,0,3
19,char_29,0,0,0,0,0,0,0
19,char_30,0,0,0,0,0,0,0
19,char_32,0,0,0,0,0,0,0
19,char_37,0,0,0,0,0,0,0
19,char_39,0,0,0,0,0,0,0
19,char_40,0,0,0,0,0,0,0
19,char_44,0,0,0,0,0,0,0
19,char_46,0,0,0,0,0,0,0
19,char_51,0,0,0,0,0,0,0
19,char_52,0,0,0,0,0,0,0
19,char_53,0,0,1,0,0,0,1
19,char_56,0,0,0,0,0,0,0
19,char_69,0,0,0,0,0,0,0
2,Kitty,4,1,1,2,3,1,12
2,Lizzy,3,0,0,2,2,1,8
2,Lydia,2,0,0,2,1,1,6
2,Mary,3,0,2,0,2,1,8
2,Mr. Bennet,6,2,2,4,2,4,20
2,Mr. Bingley,7,0,2,0,6,1,16
2,Mrs. Bennet,3,1,2,6,0,3,15
2,Mrs. Long,4,1,2,0,4,0,11
2,char_10,0,0,0,0,0,0,0
2,char_11,0,0,1,5,0,0,6
2,char_12,0,0,1,0,0,0,1
2,char_14,0,0,0,2,0,0,2
2,char_16,0,0,1,0,0,0,1
2,char_17,0,1,4,4,0,0,9
2,char_24,0,0,0,0,0,0,0
2,char_29,0,0,0,0,0,0,0
2,char_30,0,0,0,0,0,0,0
2,char_38,0,1,0,0,0,0,1
2,char_43,0,0,0,0,0,0,0
2,char_9,0,0,4,5,0,0,9
20,Charlotte,4,1,3,2,0,4,14
20,Jane,4,1,0,0,0,4,9
20,Kitty,2,1,0,0,0,2,5
20,Lizzy,19,4,3,2,8,9,45
20,Lydia,2,1,0,1,0,2,6
20,Miss Lucas,2,0,0,0,1,1,4
20,Mr. Bennet,5,3,0,5,3,1,17
20,Mr. Collins,16,1,6,5,8,6,42
20,Mrs. Bennet,10,5,4,15,0,9,43
20,char_12,0,0,0,0,0,0,0
20,char_13,0,0,1,0,0,0,1
20,char_16,0,0,1,2,0,0,3
20,char_24,0,1,0,0,0,0,1
20,char_28,0,0,0,0,0,0,0
20,char_29,0,0,0,1,0,0,1
20,char_30,0,0,1,0,0,0,1
20,char_38,0,0,1,0,0,0,1
20,char_40,0,0,0,0,0,0,0
20,char_41,0,0,0,0,0,0,0
20,char_44,0,0,0,0,0,0,0
20,char_48,0,0,0,0,0,0,0
20,char_52,0,0,1,0,0,0,1
20,char_55,0,0,0,0,0,0,0
20,char_64,0,0,0,0,0,0,0
20,char_65,0,0,0,0,0,0,0
20,char_66,0,0,0,0,0,0,0
20,char_68,0,0,0,0,0,0,0
20,char_69,0,0,0,0,0,0,0
21,Caroline,6,1,3,0,4,2,16
21,Charles,2,2,0,0,2,0,6
21,Elizabeth,9,1,20,11,1,8,50
21,Georgiana Darcy,1,0,1,0,1,0,3
21,Jane,13,5,12,14,0,10,54
21,Louisa,0,0,0,0,1,0,1
21,Miss Bennet,0,0,0,0,0,1,1
21,Miss Bingley,6,1,8,0,5,0,20
21,Miss Darcy,3,0,0,0,2,0,5
21,Miss Lucas,1,0,0,0,0,1,2
21,Miss de Bourgh,0,0,0,0,1,0,1
21,Mr. Bingley,3,0,0,0,1,2,6
21,Mr. Collins,2,0,3,2,0,2,9
21,Mr. Darcy,2,0,0,0,2,0,4
21,Mr. Darcy;--that,0,0,0,0,1,0,1
21,Mr. Hurst,0,0,0,0,0,1,1
21,Mrs. Bennet,2,0,1,0,0,2,5
21,Wickham,3,1,0,0,0,3,7
21,_,0,0,0,0,0,1,1
21,char_103,0,0,0,0,0,0,0
21,char_105,0,0,0,0,0,0,0
21,char_27,0,1,0,0,0,0,1
21,char_29,0,0,0,0,0,0,0
21,char_30,0,3,0,0,0,0,3
21,char_39,0,0,0,0,0,0,0
21,char_42,0,0,3,0,0,0,3
21,char_48,0,1,0,0,0,0,1
21,char_55,0,0,0,0,0,0,0
21,char_57,0,1,0,0,0,0,1
21,char_59,0,0,6,0,0,0,6
21,char_61,0,0,0,0,0,0,0
21,char_62,0,1,0,0,0,0,1
21,char_64,0,0,2,0,0,0,2
21,char_65,0,0,1,0,0,0,1
21,char_68,0,1,2,0,0,0,3
21,char_75,0,0,0,0,0,0,0
21,char_77,0,0,0,0,0,0,0
21,char_85,0,0,0,0,0,0,0
21,char_89,0,0,2,0,0,0,2
22,Charlotte,11,0,5,2,1,10,29
22,Elizabeth,11,0,9,5,1,9,35
22,Lady Catherine,1,0,0,0,1,0,2
22,Lady Lucas,2,0,0,0,0,2,4
22,Lucas Lodge,0,0,0,0,0,1,1
22,Mary,0,0,0,0,0,1,1
22,Miss Lucas,6,0,2,0,0,6,14
22,Mr. Bennet,2,0,0,0,0,2,4
22,Mr. Collins,15,4,5,4,3,11,42
22,Mrs. Bennet,2,0,3,1,0,2,8
22,Sir William,2,0,0,0,0,2,4
22,The Bennets,0,0,0,0,0,1,1
22,Wednesday,0,0,0,0,0,1,1
22,char_18,0,0,0,0,0,0,0
22,char_21,0,0,1,0,0,0,1
22,char_25,0,1,0,0,0,0,1
22,char_29,0,0,0,0,0,0,0
22,char_37,0,0,1,0,0,0,1
22,char_38,0,0,0,0,0,0,0
22,char_42,0,0,0,0,0,0,0
22,char_44,0,0,0,0,0,0,0
22,char_45,0,0,0,0,0,0,0
22,char_48,0,2,1,2,0,0,5
22,char_50,0,0,3,0,0,0,3
22,char_60,0,0,1,0,0,0,1
22,char_63,0,0,0,0,0,0,0
22,char_64,0,0,0,0,0,0,0
22,char_66,0,0,0,0,0,0,0
22,char_67,0,0,2,0,0,0,2
22,char_68,0,0,1,0,0,0,1
22,char_71,0,0,0,0,0,0,0
22,char_73,0,0,0,0,0,0,0
22,the Lucases,0,0,0,0,0,1,1
23,Bingley,4,1,0,0,0,4,9
23,Caroline,0,0,0,0,0,1,1
23,Charlotte,7,1,4,8,0,6,26
23,Elizabeth,12,1,4,0,1,11,29
23,Good Lord,0,0,0,0,1,0,1
23,Jane,8,0,4,0,0,8,20
23,Kitty,2,0,1,0,0,2,5
23,Lady Lucas,2,0,0,0,0,2,4
23,Lydia,2,0,0,1,0,2,5
23,Miss Darcy,0,0,0,0,0,1,1
23,Miss Lucas,3,0,0,0,0,3,6
23,Mr. Bennet,5,0,1,1,2,3,12
23,Mr. Collins,9,4,3,0,2,7,25
23,Mrs. Bennet,9,1,4,0,0,9,23
23,Sir William,6,0,3,0,1,5,15
23,char_22,0,1,0,0,0,0,1
23,char_23,0,0,0,0,0,0,0
23,char_24,0,1,0,0,0,0,1
23,char_25,0,1,0,0,0,0,1
23,char_26,0,0,0,0,0,0,0
23,char_32,0,0,0,0,0,0,0
23,char_44,0,0,0,0,0,0,0
23,char_54,0,0,0,0,0,0,0
23,char_59,0,0,0,0,0,0,0
23,char_67,0,0,1,0,0,0,1
24,Caroline,2,0,5,0,0,2,9
24,Charlotte,4,0,1,0,3,0,8
24,Elizabeth,12,0,17,11,3,9,52
24,God,0,0,0,0,1,0,1
24,Jane,13,0,13,12,4,9,51
24,Miss Bennet,2,0,0,1,0,2,5
24,Miss Bingley,1,0,0,0,0,1,2
24,Miss Darcy,3,0,0,0,1,2,6
24,Mr. Bennet,2,0,2,4,0,2,10
24,Mr. Bingley,4,1,2,0,1,3,11
24,Mr. Collins,2,0,0,0,2,0,4
24,Mr. Darcy,4,0,0,0,0,4,8
24,Mrs. Bennet,3,0,0,0,0,3,6
24,Netherfield,0,0,0,0,0,1,1
24,Wickham,2,0,1,0,1,1,5
24,char_18,0,0,0,0,0,0,0
24,char_19,0,1,1,0,0,0,2
24,char_20,0,0,0,0,0,0,0
24,char_28,0,0,0,0,0,0,0
24,char_31,0,0,0,0,0,0,0
24,char_35,0,0,0,0,0,0,0
24,char_36,0,0,0,0,0,0,0
24,char_41,0,0,1,0,0,0,1
24,char_44,0,0,0,1,0,0,1
24,char_50,0,0,1,0,0,0,1
24,char_53,0,0,0,0,0,0,0
24,char_62,0,0,2,0,0,0,2
24,char_71,0,0,0,0,0,0,0
24,char_72,0,0,1,0,0,0,1
24,char_75,0,0,0,0,0,0,0
24,char_81,0,0,9,0,0,0,9
24,char_86,0,0,1,0,0,0,1
24,char_91,0,0,0,0,0,0,0
25,Caroline,1,0,0,0,0,1,2
25,Elizabeth,9,1,7,3,2,7,29
25,Jane,9,0,0,0,6,3,18
25,Lady Lucas,0,0,0,0,1,0,1
25,Miss Bennet,1,0,0,0,0,1,2
25,Mr. Bingley,5,0,3,0,4,1,13
25,Mr. Collins,2,0,0,0,1,1,4
25,Mr. Darcy,6,0,3,0,1,4,14
25,Mr. Gardiner,1,0,0,0,0,1,2
25,Mrs. Bennet,4,0,1,2,0,4,11
25,Mrs. Gardiner,7,1,8,9,0,7,32
25,Mrs. Philips,0,0,0,0,0,1,1
25,Pemberley,2,0,0,0,0,2,4
