Chapter,Character,N,A,I,C,DC,DN,Score
10,Mr. Bingley,8,0,2,5,4,4,23
10,Mrs. Hurst,5,3,1,2,0,5,16
10,Miss Bennet,4,0,0,0,4,0,8
10,Jane,2,0,0,0,0,2,4
10,Charles,1,0,1,0,1,0,3
10,Miss Darcy,1,1,0,0,1,0,3
10,Caroline,0,0,0,0,1,0,1
10,Miss Grantley,0,0,0,0,1,0,1
10,Mr. Hurst,0,0,0,0,0,1,1
10,Mrs. Bennet,0,0,0,0,1,0,1
10,Philips,0,0,0,0,1,0,1
11,Elizabeth,17,2,11,15,1,16,62
11,Miss Bingley,11,7,8,14,1,10,51
11,Mr. Darcy,14,6,10,6,5,9,50
11,Mr. Hurst,5,1,1,0,1,4,12
11,Louisa,1,0,0,0,1,0,2
11,Caroline,0,0,0,0,1,0,1
11,Charles,0,0,0,0,1,0,1
11,Jane,0,0,0,0,0,1,1
11,Mrs. Hurst,0,0,0,0,0,1,1
11,Nicholls,0,0,0,0,1,0,1
12,Elizabeth,7,0,3,0,0,7,17
12,Jane,7,0,2,0,0,7,16
12,Miss Bingley,3,1,0,0,0,3,7
12,Mrs. Bennet,3,0,1,0,0,3,7
12,Mr. Darcy,1,0,3,0,0,1,5
12,Mr. Bingley,2,0,0,0,0,2,4
12,Catherine,0,0,0,0,0,1,1
12,Colonel Forster,0,0,0,0,0,1,1
12,Lydia,0,0,0,0,0,1,1
12,Mary,0,0,0,0,0,1,1
12,Miss Bennet,0,0,0,0,0,1,1
13,Mrs. Bennet,7,1,11,10,0,7,36
13,Mr. Bennet,4,1,0,11,0,4,20
13,Mr. Collins,6,0,4,0,2,4,16
13,Elizabeth,2,0,3,3,0,2,10
13,Jane,3,2,0,2,1,2,10
13,Lady Catherine,5,0,0,0,2,2,9
13,Lydia,2,0,1,0,1,1,5
13,Mary,1,0,1,2,0,1,5
13,Mr. Bingley,3,0,0,0,2,0,5
13,Charlotte Lucas,1,0,1,0,1,0,3
13,Hill,0,0,0,0,1,0,1
13,Sir Lewis de Bourgh,0,0,0,0,1,0,1
13,WILLIAM COLLINS,0,0,0,0,1,0,1
14,Mr. Bennet,8,0,17,3,0,8,36
14,Mr. Collins,4,4,6,1,0,4,19
14,Lady Catherine,7,1,2,4,0,4,18
14,Mrs. Bennet,3,1,2,6,0,3,15
14,Lydia,4,2,1,2,0,4,13
14,Colonel Forster,0,0,0,0,1,0,1
14,Elizabeth,0,0,0,0,0,1,1
14,Fordyce,0,0,0,0,1,0,1
14,Miss de Bourgh,0,0,0,0,1,0,1
14,Mr. Denny,0,0,0,0,1,0,1
14,Philips,0,0,0,0,1,0,1
14,Richard,0,0,0,0,1,0,1
15,Mr. Collins,9,2,7,1,0,9,28
15,Elizabeth,6,0,1,0,0,6,13
15,Lydia,5,2,1,0,0,5,13
15,Mrs. Philips,5,1,2,0,0,5,13
15,Mr. Wickham,5,2,0,0,0,5,12
15,Mrs. Bennet,4,1,3,0,0,4,12
15,Jane,5,0,1,0,0,5,11
15,Kitty,4,2,1,0,0,4,11
15,Mr. Denny,4,2,0,0,0,4,10
15,Bingley,3,2,0,0,0,3,8
15,Miss Bennet,2,0,4,0,0,2,8
15,Mr. Darcy,3,0,1,0,0,3,7
15,Mr. Bennet,3,0,0,0,0,3,6
15,Mary,0,0,0,0,0,1,1
15,Mr. Jones,0,0,0,0,0,1,1
15,Mr. Philips,0,0,0,0,0,1,1
15,the Longbourn,0,0,0,0,0,1,1
15,the Miss Bennets,0,0,0,0,0,1,1
15,the Philipses,0,0,0,0,0,1,1
16,Elizabeth,18,1,36,24,0,18,97
16,Mr. Wickham,19,4,20,30,0,19,92
16,Mr. Darcy,18,2,17,0,11,2,50
16,Mr. Collins,9,0,8,2,2,7,28
16,Mrs. Philips,9,0,6,0,0,9,24
16,Lady Catherine,7,0,1,0,5,2,15
16,Lydia,4,0,0,0,0,4,8
16,Mr. Bingley,3,0,2,0,1,0,6
16,Meryton,2,0,0,0,1,1,4
16,Miss Bennet,2,0,0,0,2,0,4
16,Miss Darcy,2,0,0,0,2,0,4
16,Miss Bingley,1,0,0,1,0,1,3
16,Denny,1,0,0,0,1,0,2
16,De Bourgh,0,0,0,0,0,1,1
16,Lady Anne Darcy,0,0,0,0,1,0,1
16,Miss de Bourgh,0,0,0,0,1,0,1
16,Mr.,0,0,0,0,0,1,1
16,Mr.,0,0,0,0,0,1,1
16,Mr. Philips,0,0,0,0,1,0,1
16,Mrs. Bennet,0,0,0,0,0,1,1
16,Rosings,0,0,0,0,0,1,1
16,Vain,0,0,0,0,0,1,1
17,Elizabeth,10,0,7,0,2,8,27
17,Jane,6,1,7,7,1,4,26
17,Mr. Collins,4,0,7,2,0,4,17
17,Mr. Wickham,8,1,0,0,1,7,17
17,Mr. Bingley,6,1,0,0,1,5,13
17,Mr. Darcy,4,0,1,0,2,2,9
17,Catherine,3,0,1,0,0,3,7
17,Mrs. Bennet,3,0,1,0,0,3,7
17,Lydia,2,0,1,0,0,2,5
17,Mary,1,0,1,2,0,1,5
17,Netherfield,0,0,0,0,0,1,1
17,Society,0,0,0,0,1,0,1
17,the younger Miss Bennets,0,0,0,0,0,1,1
18,Elizabeth,29,8,41,20,3,25,126
18,Mr. Darcy,40,6,16,13,11,23,109
18,Mr. Bingley,19,1,8,0,5,14,47
18,Mr. Collins,12,3,9,7,0,12,43
18,Jane,12,1,5,4,0,12,34
18,Mr. Wickham,12,0,2,1,4,7,26
18,Miss Bingley,4,1,7,3,0,4,19
18,Mrs. Bennet,7,0,3,0,0,7,17
18,Mary,7,1,1,0,0,7,16
