COREF,n_mentions,n_prop,n_pron,n_nom,top_text
818,5,1,4,0,Rhesus
544,5,3,2,0,Podarces
958,5,1,4,0,Croesmus
681,5,1,4,0,King Anchises
695,5,5,0,0,Orsilochus
548,4,4,0,0,Admetus
545,4,3,1,0,Phylacus
563,4,4,0,0,Leonteus
1009,4,1,3,0,"King Peleus who is a mortal , while you are yourselves ageless and immortal"
938,4,2,2,0,lovely Themis
1010,4,4,0,0,Aretus
1015,4,4,0,0,Hector
611,4,4,0,0,Laodice
569,4,1,3,0,the Magnetes
946,4,2,2,0,Mecisteus
1014,4,2,2,0,Coiranus
897,4,3,1,0,Minos
1026,4,1,3,0,Charis
742,4,1,3,0,Antea
1044,4,4,0,0,Zephyrus
830,4,4,0,0,Ilus
752,4,4,0,0,Areithous
754,4,2,2,0,Eioneus
757,4,4,0,0,Priam
329,4,2,2,0,Protesilaus
26,4,4,0,0,Scamander
765,4,2,2,0,brave Archeptolemus
713,4,4,0,0,Simois
889,4,4,0,0,Actor
689,4,4,0,0,Paeeon
827,4,3,1,0,Isus
524,4,2,2,0,Amarynceus
869,4,4,0,0,Alcathous
888,4,3,1,0,Imbrius
833,4,3,1,0,Cisses
947,3,1,2,0,Deiochus
635,3,3,0,0,Eurymedon
750,3,3,0,0,Astyanax
898,3,2,1,0,Harpalion
756,3,3,0,0,Far - Darter
978,3,3,0,0,Lycon
633,3,3,0,0,Aesculapius
922,3,3,0,0,Perseus
925,3,3,0,0,Alcmena
783,3,3,0,0,Erebus
592,3,2,1,0,The Paphlagonians
973,3,1,2,0,the Selli
746,3,2,1,0,Great Oeneus
812,3,3,0,0,Amphidamas
813,3,2,1,0,Molus
816,3,2,1,0,the Cauconians
641,3,3,0,0,Haemon
825,3,1,2,0,Discord
850,3,3,0,0,Hippasus
694,3,3,0,0,Crethon
1000,3,3,0,0,Fate
441,3,3,0,0,Chryse
207,3,2,1,0,Oceanus
496,3,3,0,0,Schedius
501,3,3,0,0,the Locrians
538,3,2,1,0,Nireus
1030,3,3,0,0,Orion
578,3,3,0,0,Archelochus
1065,3,3,0,0,Pelegon
526,3,3,0,0,Augeas
498,3,3,0,0,mighty Iphitus the son of Naubolus
508,3,3,0,0,Capaneus
497,3,3,0,0,Epistrophus
460,3,3,0,0,Eurybates
1062,3,2,1,0,Eetion of Imbros
575,3,3,0,0,Dardanians
1083,3,3,0,0,Menelaus
464,3,2,1,0,Mother
465,3,3,0,0,Briseus
499,2,2,0,0,Panopeus
774,2,2,0,0,Ophelestes
924,2,2,0,0,Semele
876,2,2,0,0,Thootes
683,2,2,0,0,Otus
1047,2,2,0,0,Erichthonius
928,2,2,0,0,Areilycus
930,2,2,0,0,Promachus the Boeotian
871,2,2,0,0,the fighting Lapithae
676,2,2,0,0,Polyidus
512,2,2,0,0,Adrastus
673,2,1,1,0,Hypsenor
943,2,2,0,0,Iasus
1061,2,2,0,0,"noble son of Peires , who had come from fertile Thrace"
506,2,2,0,0,Chalcodon
668,2,2,0,0,Scamandrius
1027,2,2,0,0,Eurynome
510,2,2,0,0,Talaus
767,2,2,0,0,Podargus
657,2,2,0,0,Leucus
697,2,1,1,0,Diocles
491,2,2,0,0,Arcesilaus
892,2,1,1,0,Iron
1042,2,2,0,0,Alcimus
1041,2,2,0,0,Pelian
739,2,1,1,0,Sisyphus
478,2,2,0,0,Pelops
743,2,2,0,0,Isander
902,2,2,0,0,King Helenus
903,2,2,0,0,Phalces
744,2,2,0,0,Laodameia
1049,2,2,0,0,Capys
716,2,2,0,0,huge Periphas
489,2,2,0,0,O Muses
712,2,2,0,0,Gorgon
1063,2,2,0,0,Laothoe
492,2,2,0,0,Clonius
709,2,2,0,0,Noemon
1050,2,2,0,0,Fool
454,2,2,0,0,Caeneus
751,2,1,1,0,Menesthius
494,2,2,0,0,Ialmenus
453,2,2,0,0,Dryas
915,2,2,0,0,Night
916,2,2,0,0,Pasithea
701,2,2,0,0,Atymnius
1051,2,2,0,0,Otrynteus
699,2,2,0,0,Pylaemenes
655,2,2,0,0,Simoeisius
773,2,2,0,0,Ormenus
1048,2,2,0,0,Assaracus
989,2,1,1,0,Thrasydemus
792,2,2,0,0,Iphianassa
1085,2,1,1,0,Whoever
628,2,2,0,0,Hebe
598,2,2,0,0,noble Ascanius
964,2,2,0,0,Balius
599,2,2,0,0,Mesthles
965,2,2,0,0,Fair Polydora daughter of Peleus
793,2,2,0,0,Aepea
967,2,2,0,0,Eudorus
848,2,1,1,0,Deiopites
601,2,2,0,0,the Meonians
969,2,1,1,0,Phylas
565,2,1,1,0,Guneus
797,2,2,0,0,Erinyes
845,2,2,0,0,Paeon
844,2,2,0,0,Hypeirochus
841,2,1,1,0,Thymbraeus
1069,2,2,0,0,King Achelous
555,2,2,0,0,Podalirius
791,2,2,0,0,Chrysothemis
629,2,2,0,0,Laodocus
574,2,2,0,0,old Aesyetes
1082,2,2,0,0,Aethe
822,2,2,0,0,Tithonus
642,2,2,0,0,mighty Ereuthalion
516,2,2,0,0,Eurytus
821,2,2,0,0,Dawn
648,2,2,0,0,Maeon
857,2,2,0,0,Pylartes
645,2,2,0,0,Polynices
852,2,2,0,0,Wretch
638,2,2,0,0,Pelagon
650,2,2,0,0,Panic
787,2,2,0,0,Aphareus
882,1,1,0,0,Thestor
1070,1,1,0,0,Mnesus
887,1,1,0,0,Medesicaste
835,1,1,0,0,the Eilithuiae
1074,1,1,0,0,Baby
1073,1,1,0,0,Son Vulcan
1071,1,1,0,0,Thrasius
1075,1,1,0,0,stern
883,1,1,0,0,BOOK XIII
826,1,1,0,0,Bienor
1079,1,1,0,0,Arion
884,1,1,0,0,the Abians
886,1,1,0,0,Mentor
837,1,1,0,0,Opites
1076,1,1,0,0,Monster
836,1,1,0,0,Asaeus
859,1,1,0,0,Phausius
838,1,1,0,0,Aesymnus
1057,1,1,0,0,Demouchus
860,1,1,0,0,wise Arsinous
858,1,1,0,0,Apisaon
855,1,1,0,0,Lysandrus
1059,1,1,0,0,Laogonus
854,1,1,0,0,Pandocus
866,1,1,0,0,Hero Eurypylus
853,1,1,0,0,Doryclus
1064,1,1,0,0,aged Altes
867,1,1,0,0,Grenicus
1058,1,1,0,0,Philetor
849,1,1,0,0,Chersidamas
1056,1,1,0,0,Dryops
839,1,1,0,0,Orus
873,1,1,0,0,Pylon
874,1,1,0,0,Antiphates
875,1,1,0,0,Menon
1054,1,1,0,0,Hippodamas
1052,1,1,0,0,Hyllus
879,1,1,0,0,Pandion
86,1,1,0,0,Helice
1068,1,1,0,0,the Paeonians
843,1,1,0,0,Hippodamus
842,1,1,0,0,Molion
840,1,1,0,0,Hipponous
1067,1,1,0,0,Acessamenus
1034,1,1,0,0,Riot
890,1,1,0,0,the Ephyri
963,1,1,0,0,Moreover
975,1,1,0,0,Maris
974,1,1,0,0,Amphiclus
1011,1,1,0,0,scatheless
972,1,1,0,0,"god of the Pelasgi , who dwellest afar , you who hold wintry Dodona"
1012,1,1,0,0,Podes
970,1,1,0,0,Maemalus
1013,1,1,0,0,noble Alectryon
966,1,1,0,0,Perieres
1016,1,1,0,0,Glauce
977,1,1,0,0,Cleobulus
961,1,1,0,0,BOOK XVI
1017,1,1,0,0,dark - eyed Halie
959,1,1,0,0,King Euphetes
1018,1,1,0,0,Melite
957,1,1,0,0,Laodamas
956,1,1,0,0,the Phoceans
955,1,1,0,0,Perimedes
954,1,1,0,0,Protiaon
976,1,1,0,0,Amisodorus
1008,1,1,0,0,Arisbas
952,1,1,0,0,Pisenor
990,1,1,0,0,Panthous and Agenor
998,1,1,0,0,Zeus
997,1,1,0,0,Dymas
996,1,1,0,0,Elasus
995,1,1,0,0,Dear Phoebus
1002,1,1,0,0,the Cicons
993,1,1,0,0,Ithaemenes
992,1,1,0,0,Sthenelaus
991,1,1,0,0,Epeigeus
1005,1,1,0,0,Deisenor
1007,1,1,0,0,Leiocritus
987,1,1,0,0,Euippus
986,1,1,0,0,Ipheus
985,1,1,0,0,Pyris
984,1,1,0,0,Damastor
983,1,1,0,0,Epaltes
982,1,1,0,0,Amphoterus
1006,1,1,0,0,Epytus
980,1,1,0,0,Pronous
1019,1,1,0,0,Proto
1020,1,1,0,0,Amphinome
1045,1,1,0,0,BOOK XX
907,1,1,0,0,Jupiter
921,1,1,0,0,Danae
920,1,1,0,0,Ixion
919,1,1,0,0,Lectum
824,1,1,0,0,Polybus
911,1,1,0,0,Melas
910,1,1,0,0,Agrius
909,1,1,0,0,Portheus
908,1,1,0,0,fair Hecamede
1035,1,1,0,0,Daedalus
923,1,1,0,0,Rhadamanthus
905,1,1,0,0,Palmys
904,1,1,0,0,"Orthaeus , godlike Polyphetes"
901,1,1,0,0,the Phthians
900,1,1,0,0,Eriopis
1036,1,1,0,0,lovely Ariadne
1037,1,1,0,0,Erinys
1039,1,1,0,0,Sun
1040,1,1,0,0,Neoptolemus
1033,1,1,0,0,Strife
1032,1,1,0,0,Hymen
950,1,1,0,0,Mastor
941,1,1,0,0,Rhea
95,1,1,0,0,Alpheus
949,1,1,0,0,the Cythereans
948,1,1,0,0,Lycophron
1021,1,1,0,0,Doris
1022,1,1,0,0,Nemertes
945,1,1,0,0,Boucolos
944,1,1,0,0,Sphelus
942,1,1,0,0,Meges peer of Mars
1023,1,1,0,0,Apseudes
1031,1,1,0,0,the Wain
937,1,1,0,0,BOOK XV
1028,1,1,0,0,Heaven
935,1,1,0,0,Mermerus
934,1,1,0,0,Gyrtius
933,1,1,0,0,Alegenor
1029,1,1,0,0,the Hyads
929,1,1,0,0,Prothoenor
927,1,1,0,0,Satnius
1081,1,1,0,0,Pheres
582,1,1,0,0,Sestos
823,1,1,0,0,Cinyras
653,1,1,0,0,Thalysius
665,1,1,0,0,Phaesus
663,1,1,0,0,Dares
661,1,1,0,0,Imbrasus
513,1,1,0,0,Laas
514,1,1,0,0,Oetylus
1001,1,1,0,0,noble Phrontis
656,1,1,0,0,Anthemion
654,1,1,0,0,King Elephenor
652,1,1,0,0,Echepolus
820,1,1,0,0,BOOK XI
515,1,1,0,0,Thamyris
649,1,1,0,0,Polyphontes
646,1,1,0,0,Eteocles
517,1,1,0,0,Stymphelus
518,1,1,0,0,Parrhasia
521,1,1,0,0,Thalpius
522,1,1,0,0,Cteatus
525,1,1,0,0,Polyxenus
666,1,1,0,0,"son of Borus the Meonian , who had come from Varne"
669,1,1,0,0,Strophius
671,1,1,0,0,Pedaeus
505,1,1,0,0,The fierce Abantes
702,1,1,0,0,dread Enyo
700,1,1,0,0,squire Mydon
495,1,1,0,0,Azeus
691,1,1,0,0,Latona
690,1,1,0,0,Aegialeia
687,1,1,0,0,Amphitryon
686,1,1,0,0,Aloeus
685,1,1,0,0,Eeriboea
684,1,1,0,0,Ephialtes
682,1,1,0,0,Deipylus
502,1,1,0,0,Opous
680,1,1,0,0,Ganymede
503,1,1,0,0,Calliarus
678,1,1,0,0,Echemmon
504,1,1,0,0,fair Augeae
675,1,1,0,0,Abas
674,1,1,0,0,Astynous
637,1,1,0,0,Glad
636,1,1,0,0,Ptolemaeus
528,1,1,0,0,Aegilips
557,1,1,0,0,Ormenius
560,1,1,0,0,Oloosson
561,1,1,0,0,the Aithices
564,1,1,0,0,Coronus
604,1,1,0,0,Nomion
603,1,1,0,0,Maeander
600,1,1,0,0,Talaemenes
566,1,1,0,0,Cyphus
567,1,1,0,0,the Enienes
595,1,1,0,0,Chromis
568,1,1,0,0,dread Orcus
593,1,1,0,0,Parthenius
570,1,1,0,0,Tenthredon
591,1,1,0,0,Pyraechmes
590,1,1,0,0,Troezenus
589,1,1,0,0,Euphemus
571,1,1,0,0,O Muse
587,1,1,0,0,Teutamus
559,1,1,0,0,Elone
