character,tag,count,chapter,novel
Old Noll,N,0,1,Melmoth_the_Wanderer1
Old Noll,C,0,1,Melmoth_the_Wanderer1
Old Noll,I,0,1,Melmoth_the_Wanderer1
Old Noll,A,0,1,Melmoth_the_Wanderer1
Old Noll,DC,0,1,Melmoth_the_Wanderer1
Old Noll,DN,0,1,Melmoth_the_Wanderer1
Oliva,N,0,1,Melmoth_the_Wanderer1
Oliva,C,0,1,Melmoth_the_Wanderer1
Oliva,I,0,1,Melmoth_the_Wanderer1
Oliva,A,0,1,Melmoth_the_Wanderer1
Oliva,DC,0,1,Melmoth_the_Wanderer1
Oliva,DN,0,1,Melmoth_the_Wanderer1
"Rome,--that St Augustine",N,0,1,Melmoth_the_Wanderer1
"Rome,--that St Augustine",C,0,1,Melmoth_the_Wanderer1
"Rome,--that St Augustine",I,0,1,Melmoth_the_Wanderer1
"Rome,--that St Augustine",A,0,1,Melmoth_the_Wanderer1
"Rome,--that St Augustine",DC,0,1,Melmoth_the_Wanderer1
"Rome,--that St Augustine",DN,0,1,Melmoth_the_Wanderer1
Roxana,N,0,1,Melmoth_the_Wanderer1
Roxana,C,0,1,Melmoth_the_Wanderer1
Roxana,I,0,1,Melmoth_the_Wanderer1
Roxana,A,0,1,Melmoth_the_Wanderer1
Roxana,DC,0,1,Melmoth_the_Wanderer1
Roxana,DN,0,1,Melmoth_the_Wanderer1
Ruth,N,0,1,Melmoth_the_Wanderer1
Ruth,C,0,1,Melmoth_the_Wanderer1
Ruth,I,0,1,Melmoth_the_Wanderer1
Ruth,A,0,1,Melmoth_the_Wanderer1
Ruth,DC,0,1,Melmoth_the_Wanderer1
Ruth,DN,0,1,Melmoth_the_Wanderer1
Senhor,N,0,1,Melmoth_the_Wanderer1
Senhor,C,0,1,Melmoth_the_Wanderer1
Senhor,I,0,1,Melmoth_the_Wanderer1
Senhor,A,0,1,Melmoth_the_Wanderer1
Senhor,DC,0,1,Melmoth_the_Wanderer1
Senhor,DN,0,1,Melmoth_the_Wanderer1
Stanton,N,0,1,Melmoth_the_Wanderer1
Stanton,C,0,1,Melmoth_the_Wanderer1
Stanton,I,0,1,Melmoth_the_Wanderer1
Stanton,A,0,1,Melmoth_the_Wanderer1
Stanton,DC,0,1,Melmoth_the_Wanderer1
Stanton,DN,0,1,Melmoth_the_Wanderer1
Sybil,N,2,1,Melmoth_the_Wanderer1
Sybil,C,4,1,Melmoth_the_Wanderer1
Sybil,I,1,1,Melmoth_the_Wanderer1
Sybil,A,8,1,Melmoth_the_Wanderer1
Sybil,DC,0,1,Melmoth_the_Wanderer1
Sybil,DN,0,1,Melmoth_the_Wanderer1
The Superior,N,0,1,Melmoth_the_Wanderer1
The Superior,C,0,1,Melmoth_the_Wanderer1
The Superior,I,0,1,Melmoth_the_Wanderer1
The Superior,A,0,1,Melmoth_the_Wanderer1
The Superior,DC,0,1,Melmoth_the_Wanderer1
The Superior,DN,0,1,Melmoth_the_Wanderer1
aunt Dinah,N,0,1,Melmoth_the_Wanderer1
aunt Dinah,C,0,1,Melmoth_the_Wanderer1
aunt Dinah,I,0,1,Melmoth_the_Wanderer1
aunt Dinah,A,0,1,Melmoth_the_Wanderer1
aunt Dinah,DC,0,1,Melmoth_the_Wanderer1
aunt Dinah,DN,0,1,Melmoth_the_Wanderer1
Biddy Brannigan,N,4,2,Melmoth_the_Wanderer1
Biddy Brannigan,C,0,2,Melmoth_the_Wanderer1
Biddy Brannigan,I,3,2,Melmoth_the_Wanderer1
Biddy Brannigan,A,1,2,Melmoth_the_Wanderer1
Biddy Brannigan,DC,0,2,Melmoth_the_Wanderer1
Biddy Brannigan,DN,0,2,Melmoth_the_Wanderer1
Christ,N,0,2,Melmoth_the_Wanderer1
Christ,C,0,2,Melmoth_the_Wanderer1
Christ,I,0,2,Melmoth_the_Wanderer1
Christ,A,0,2,Melmoth_the_Wanderer1
Christ,DC,0,2,Melmoth_the_Wanderer1
Christ,DN,0,2,Melmoth_the_Wanderer1
Cousin,N,0,2,Melmoth_the_Wanderer1
Cousin,C,0,2,Melmoth_the_Wanderer1
Cousin,I,0,2,Melmoth_the_Wanderer1
Cousin,A,0,2,Melmoth_the_Wanderer1
Cousin,DC,0,2,Melmoth_the_Wanderer1
Cousin,DN,0,2,Melmoth_the_Wanderer1
Cromwell,N,1,2,Melmoth_the_Wanderer1
Cromwell,C,0,2,Melmoth_the_Wanderer1
Cromwell,I,0,2,Melmoth_the_Wanderer1
Cromwell,A,0,2,Melmoth_the_Wanderer1
Cromwell,DC,1,2,Melmoth_the_Wanderer1
Cromwell,DN,0,2,Melmoth_the_Wanderer1
Director,N,0,2,Melmoth_the_Wanderer1
Director,C,0,2,Melmoth_the_Wanderer1
Director,I,0,2,Melmoth_the_Wanderer1
Director,A,0,2,Melmoth_the_Wanderer1
Director,DC,0,2,Melmoth_the_Wanderer1
Director,DN,0,2,Melmoth_the_Wanderer1
Dryden,N,1,2,Melmoth_the_Wanderer1
Dryden,C,0,2,Melmoth_the_Wanderer1
Dryden,I,1,2,Melmoth_the_Wanderer1
Dryden,A,0,2,Melmoth_the_Wanderer1
Dryden,DC,0,2,Melmoth_the_Wanderer1
Dryden,DN,0,2,Melmoth_the_Wanderer1
Father Fay,N,0,2,Melmoth_the_Wanderer1
Father Fay,C,0,2,Melmoth_the_Wanderer1
Father Fay,I,0,2,Melmoth_the_Wanderer1
Father Fay,A,0,2,Melmoth_the_Wanderer1
Father Fay,DC,0,2,Melmoth_the_Wanderer1
Father Fay,DN,0,2,Melmoth_the_Wanderer1
Father Olavida,N,0,2,Melmoth_the_Wanderer1
Father Olavida,C,0,2,Melmoth_the_Wanderer1
Father Olavida,I,0,2,Melmoth_the_Wanderer1
Father Olavida,A,0,2,Melmoth_the_Wanderer1
Father Olavida,DC,0,2,Melmoth_the_Wanderer1
Father Olavida,DN,0,2,Melmoth_the_Wanderer1
Fra Paolo,N,0,2,Melmoth_the_Wanderer1
Fra Paolo,C,0,2,Melmoth_the_Wanderer1
Fra Paolo,I,0,2,Melmoth_the_Wanderer1
Fra Paolo,A,0,2,Melmoth_the_Wanderer1
Fra Paolo,DC,0,2,Melmoth_the_Wanderer1
Fra Paolo,DN,0,2,Melmoth_the_Wanderer1
God,N,0,2,Melmoth_the_Wanderer1
God,C,0,2,Melmoth_the_Wanderer1
God,I,0,2,Melmoth_the_Wanderer1
God,A,0,2,Melmoth_the_Wanderer1
God,DC,0,2,Melmoth_the_Wanderer1
God,DN,0,2,Melmoth_the_Wanderer1
Heaven,N,0,2,Melmoth_the_Wanderer1
Heaven,C,0,2,Melmoth_the_Wanderer1
Heaven,I,0,2,Melmoth_the_Wanderer1
Heaven,A,0,2,Melmoth_the_Wanderer1
Heaven,DC,0,2,Melmoth_the_Wanderer1
Heaven,DN,0,2,Melmoth_the_Wanderer1
Judas,N,0,2,Melmoth_the_Wanderer1
Judas,C,0,2,Melmoth_the_Wanderer1
Judas,I,0,2,Melmoth_the_Wanderer1
Judas,A,0,2,Melmoth_the_Wanderer1
Judas,DC,0,2,Melmoth_the_Wanderer1
Judas,DN,0,2,Melmoth_the_Wanderer1
Lee,N,0,2,Melmoth_the_Wanderer1
Lee,C,0,2,Melmoth_the_Wanderer1
Lee,I,0,2,Melmoth_the_Wanderer1
Lee,A,0,2,Melmoth_the_Wanderer1
Lee,DC,0,2,Melmoth_the_Wanderer1
Lee,DN,0,2,Melmoth_the_Wanderer1
Lord,N,0,2,Melmoth_the_Wanderer1
Lord,C,0,2,Melmoth_the_Wanderer1
Lord,I,0,2,Melmoth_the_Wanderer1
Lord,A,0,2,Melmoth_the_Wanderer1
Lord,DC,0,2,Melmoth_the_Wanderer1
Lord,DN,0,2,Melmoth_the_Wanderer1
MELMOTH THE WANDERER,N,0,2,Melmoth_the_Wanderer1
MELMOTH THE WANDERER,C,0,2,Melmoth_the_Wanderer1
MELMOTH THE WANDERER,I,0,2,Melmoth_the_Wanderer1
MELMOTH THE WANDERER,A,0,2,Melmoth_the_Wanderer1
MELMOTH THE WANDERER,DC,0,2,Melmoth_the_Wanderer1
MELMOTH THE WANDERER,DN,0,2,Melmoth_the_Wanderer1
Melmoth,N,31,2,Melmoth_the_Wanderer1
Melmoth,C,10,2,Melmoth_the_Wanderer1
Melmoth,I,23,2,Melmoth_the_Wanderer1
Melmoth,A,35,2,Melmoth_the_Wanderer1
Melmoth,DC,0,2,Melmoth_the_Wanderer1
Melmoth,DN,9,2,Melmoth_the_Wanderer1
Old Melmoth,N,0,2,Melmoth_the_Wanderer1
Old Melmoth,C,0,2,Melmoth_the_Wanderer1
Old Melmoth,I,0,2,Melmoth_the_Wanderer1
Old Melmoth,A,0,2,Melmoth_the_Wanderer1
Old Melmoth,DC,0,2,Melmoth_the_Wanderer1
Old Melmoth,DN,0,2,Melmoth_the_Wanderer1
Old Noll,N,0,2,Melmoth_the_Wanderer1
Old Noll,C,0,2,Melmoth_the_Wanderer1
Old Noll,I,0,2,Melmoth_the_Wanderer1
Old Noll,A,0,2,Melmoth_the_Wanderer1
Old Noll,DC,0,2,Melmoth_the_Wanderer1
Old Noll,DN,0,2,Melmoth_the_Wanderer1
Oliva,N,0,2,Melmoth_the_Wanderer1
Oliva,C,0,2,Melmoth_the_Wanderer1
Oliva,I,0,2,Melmoth_the_Wanderer1
Oliva,A,0,2,Melmoth_the_Wanderer1
Oliva,DC,0,2,Melmoth_the_Wanderer1
Oliva,DN,0,2,Melmoth_the_Wanderer1
"Rome,--that St Augustine",N,0,2,Melmoth_the_Wanderer1
"Rome,--that St Augustine",C,0,2,Melmoth_the_Wanderer1
"Rome,--that St Augustine",I,0,2,Melmoth_the_Wanderer1
"Rome,--that St Augustine",A,0,2,Melmoth_the_Wanderer1
"Rome,--that St Augustine",DC,0,2,Melmoth_the_Wanderer1
"Rome,--that St Augustine",DN,0,2,Melmoth_the_Wanderer1
Roxana,N,0,2,Melmoth_the_Wanderer1
Roxana,C,0,2,Melmoth_the_Wanderer1
Roxana,I,0,2,Melmoth_the_Wanderer1
Roxana,A,0,2,Melmoth_the_Wanderer1
Roxana,DC,0,2,Melmoth_the_Wanderer1
Roxana,DN,0,2,Melmoth_the_Wanderer1
Ruth,N,0,2,Melmoth_the_Wanderer1
Ruth,C,0,2,Melmoth_the_Wanderer1
Ruth,I,0,2,Melmoth_the_Wanderer1
Ruth,A,0,2,Melmoth_the_Wanderer1
Ruth,DC,0,2,Melmoth_the_Wanderer1
Ruth,DN,0,2,Melmoth_the_Wanderer1
Senhor,N,0,2,Melmoth_the_Wanderer1
Senhor,C,0,2,Melmoth_the_Wanderer1
Senhor,I,0,2,Melmoth_the_Wanderer1
Senhor,A,0,2,Melmoth_the_Wanderer1
Senhor,DC,0,2,Melmoth_the_Wanderer1
Senhor,DN,0,2,Melmoth_the_Wanderer1
Stanton,N,0,2,Melmoth_the_Wanderer1
Stanton,C,0,2,Melmoth_the_Wanderer1
Stanton,I,0,2,Melmoth_the_Wanderer1
Stanton,A,0,2,Melmoth_the_Wanderer1
Stanton,DC,0,2,Melmoth_the_Wanderer1
Stanton,DN,0,2,Melmoth_the_Wanderer1
Sybil,N,1,2,Melmoth_the_Wanderer1
Sybil,C,0,2,Melmoth_the_Wanderer1
Sybil,I,0,2,Melmoth_the_Wanderer1
Sybil,A,0,2,Melmoth_the_Wanderer1
Sybil,DC,1,2,Melmoth_the_Wanderer1
Sybil,DN,0,2,Melmoth_the_Wanderer1
The Superior,N,0,2,Melmoth_the_Wanderer1
The Superior,C,0,2,Melmoth_the_Wanderer1
The Superior,I,0,2,Melmoth_the_Wanderer1
The Superior,A,0,2,Melmoth_the_Wanderer1
The Superior,DC,0,2,Melmoth_the_Wanderer1
The Superior,DN,0,2,Melmoth_the_Wanderer1
aunt Dinah,N,0,2,Melmoth_the_Wanderer1
aunt Dinah,C,0,2,Melmoth_the_Wanderer1
aunt Dinah,I,0,2,Melmoth_the_Wanderer1
aunt Dinah,A,0,2,Melmoth_the_Wanderer1
aunt Dinah,DC,0,2,Melmoth_the_Wanderer1
aunt Dinah,DN,0,2,Melmoth_the_Wanderer1
Biddy Brannigan,N,0,3,Melmoth_the_Wanderer1
Biddy Brannigan,C,0,3,Melmoth_the_Wanderer1
Biddy Brannigan,I,0,3,Melmoth_the_Wanderer1
Biddy Brannigan,A,0,3,Melmoth_the_Wanderer1
Biddy Brannigan,DC,0,3,Melmoth_the_Wanderer1
Biddy Brannigan,DN,0,3,Melmoth_the_Wanderer1
Christ,N,3,3,Melmoth_the_Wanderer1
Christ,C,0,3,Melmoth_the_Wanderer1
Christ,I,0,3,Melmoth_the_Wanderer1
Christ,A,0,3,Melmoth_the_Wanderer1
Christ,DC,1,3,Melmoth_the_Wanderer1
Christ,DN,0,3,Melmoth_the_Wanderer1
Cousin,N,3,3,Melmoth_the_Wanderer1
Cousin,C,1,3,Melmoth_the_Wanderer1
Cousin,I,1,3,Melmoth_the_Wanderer1
Cousin,A,1,3,Melmoth_the_Wanderer1
Cousin,DC,0,3,Melmoth_the_Wanderer1
Cousin,DN,1,3,Melmoth_the_Wanderer1
Cromwell,N,0,3,Melmoth_the_Wanderer1
Cromwell,C,0,3,Melmoth_the_Wanderer1
Cromwell,I,0,3,Melmoth_the_Wanderer1
Cromwell,A,0,3,Melmoth_the_Wanderer1
Cromwell,DC,0,3,Melmoth_the_Wanderer1
Cromwell,DN,0,3,Melmoth_the_Wanderer1
Director,N,0,3,Melmoth_the_Wanderer1
Director,C,0,3,Melmoth_the_Wanderer1
