chapter,method,input_tokens,output_tokens,elapsed_time
10,span-based,475572.0,4132.0,157.1168122291565
38,span-based,62972.0,1719.0,102.17798471450806
1,span-based,108205.0,2474.0,80.07428669929504
11,span-based,1049028.0,7156.0,252.1277196407318
13,span-based,818933.0,8524.0,304.63313484191895
2,span-based,175698.0,3585.0,107.64019417762756
3,span-based,396607.0,4013.0,158.74461579322815
12,span-based,353823.0,3268.0,117.40956163406372
16,span-based,520932.0,6764.0,230.31831431388855
7,span-based,225064.0,3338.0,92.03694915771484
6,span-based,285516.0,4430.0,135.00976157188416
17,span-based,1666881.0,10376.0,347.27419328689575
29,span-based,921215.0,8166.0,300.7727737426758
15,span-based,567870.0,6947.0,231.11538314819336
4,span-based,953815.0,7956.0,269.65612292289734
5,span-based,671106.0,4626.0,187.35347247123718
14,span-based,866472.0,9768.0,320.397255897522
28,span-based,1287787.0,6550.0,290.34672927856445
25,span-based,854453.0,8753.0,346.30590891838074
31,span-based,236714.0,3751.0,143.33605909347534
19,span-based,848146.0,7343.0,303.66633653640747
8,span-based,241774.0,3686.0,123.39468479156494
9,span-based,218199.0,2755.0,94.25093817710876
18,span-based,863813.0,6424.0,207.07376146316528
30,span-based,334454.0,5664.0,167.87176132202148
24,span-based,2168480.0,14634.0,553.951473236084
32,span-based,534649.0,5955.0,202.13930940628052
26,span-based,632294.0,7202.0,217.6462333202362
27,span-based,2698194.0,19834.0,649.0493638515472
33,span-based,1110724.0,10940.0,399.955509185791
37,span-based,2682092.0,17783.0,686.4004933834076
23,span-based,788521.0,8734.0,301.1010994911194
22,span-based,166401.0,2851.0,89.55490040779114
36,span-based,489537.0,6224.0,219.28180480003357
20,span-based,1392087.0,9119.0,371.05836486816406
34,span-based,1915710.0,12376.0,616.3944852352142
35,span-based,556410.0,7561.0,249.22690153121948
21,span-based,2413267.0,14245.0,521.393791437149
