COREF,n_mentions,n_prop,n_pron,n_nom,top_text
276,2,2,0,0,Henrietta
444,1,1,0,0,Robert Louis Stevenson
292,1,1,0,0,Count Zinzendorf
443,1,1,0,0,Tom Burke
446,1,1,0,0,R. H. Dana
178,1,1,0,0,Armida
445,1,1,0,0,James A. Froude
452,1,1,0,0,Benjamin Disraeli
176,1,1,0,0,Koppen
175,1,1,0,0,Cato
449,1,1,0,0,Harriet Beecher Stowe
450,1,1,0,0,Oliver Goldsmith
451,1,1,0,0,Vivian Grey.=
439,1,1,0,0,Theodore Tilton
453,1,1,0,0,J. M. Barrie
454,1,1,0,0,Susan Warner
455,1,1,0,0,Widow Lerouge
456,1,1,0,0,Emile Gaborlau
457,1,1,0,0,Goethe ( Carlyle
440,1,1,0,0,Thaddeus of Warsaw.= By Jane Porter
433,1,1,0,0,Samuel Smiles
438,1,1,0,0,Tartarin of Tarascon.= By Alphonse Daudet
425,1,1,0,0,Captain Fred Burnaby
198,1,1,0,0,"pieces,--whoever"
415,1,1,0,0,Pere Goriot.=
197,1,1,0,0,Iris
417,1,1,0,0,Edwin L. Arnold
418,1,1,0,0,Picciola.= By X. B. Saintine
419,1,1,0,0,John Bunyan
196,1,1,0,0,Whither
422,1,1,0,0,Queen Hortense.= By Louisa Muhlbach
423,1,1,0,0,Queenie
184,1,1,0,0,Fortune
426,1,1,0,0,Rienzi.=
437,1,1,0,0,Family Robinson.= By Jean Rudolph Wyss
427,1,1,0,0,Robinson Crusoe.= By Daniel Defoe
428,1,1,0,0,Octave Feuillet
182,1,1,0,0,Commerce
430,1,1,0,0,Rory O'More.=
431,1,1,0,0,Scottish Chiefs.= By Jane Porter
432,1,1,0,0,Basil Lyndhurst.=
459,1,1,0,0,Zenobia.= By William Ware
434,1,1,0,0,Silas Marner.= By George Eliot
435,1,1,0,0,Silence of Dean Maitland.= By Maxwell Grey
436,1,1,0,0,Olive Schreiner
174,1,1,0,0,Darius
465,1,1,0,0,GUY HARRIS
460,1,1,0,0,JOE
490,1,1,0,0,Jan of the Windmill
492,1,1,0,0,SARAH TYTLER
493,1,1,0,0,The Water Babies
494,1,1,0,0,GRACE AGUILAR
495,1,1,0,0,ROBERT THORNE
496,1,1,0,0,Birds
497,1,1,0,0,CHARLES C. ABBOTT
498,1,1,0,0,Troy
499,1,1,0,0,HENRY B. COREY
148,1,1,0,0,Retsch
501,1,1,0,0,J. V. Ferguson
502,1,1,0,0,Benjamin Harrison
503,1,1,0,0,ALBERT STRAUSS
504,1,1,0,0,SENATOR JOHN SHERMAN
142,1,1,0,0,the French
141,1,1,0,0,T. CARLYLE
511,1,1,0,0,"""--_Brooklyn Eagle"
512,1,1,0,0,"Famous People of All Ages.= Who they were , when they lived , and why they are famous"
513,1,1,0,0,MRS . M. A. KIDDER
139,1,1,0,0,Juliet Sutherland
515,1,1,0,0,Henry Ward Beecher
516,1,1,0,0,Harland
517,1,1,0,0,Gen. Fremont
518,1,1,0,0,Professor Michael
491,1,1,0,0,LEWIS CARROLL
489,1,1,0,0,ROSA MULHOLLAND
172,1,1,0,0,Christmas
488,1,1,0,0,Giannetta
462,1,1,0,0,JULIAN MORTIMER
171,1,1,0,0,Mooresses
161,1,1,0,0,Homer
467,1,1,0,0,CAPTAIN KIDD
468,1,1,0,0,JAMES FRANKLIN FITTS
469,1,1,0,0,TOM THATCHER
156,1,1,0,0,Sophocles
471,1,1,0,0,Sam Willett
472,1,1,0,0,ALFRED R. CALHOUN
473,1,1,0,0,THE ERRAND BOY
474,1,1,0,0,HARRY DARREL
475,1,1,0,0,Frank H. Converse=.
476,1,1,0,0,E. S. ELLIS
477,1,1,0,0,APES
478,1,1,0,0,Philip Garland
155,1,1,0,0,Raphael
480,1,1,0,0,TOM THE BOOT - BLACK
481,1,1,0,0,ROY GILBERT
151,1,1,0,0,Werther
483,1,1,0,0,BUDD BOYD 'S TRIUMPH
484,1,1,0,0,"DAN THE NEWSBOY.= By HORATIO ALGER , JR"
485,1,1,0,0,THE BOY CRUISERS
150,1,1,0,0,King Cambyses
413,1,1,0,0,Berthold Auerbach
405,1,1,0,0,Michael Strogoff.=
411,1,1,0,0,Mary Cecil Hay
323,1,1,0,0,Barbara Heathcote
325,1,1,0,0,Berber
326,1,1,0,0,W. S. Mayo
269,1,1,0,0,the Danes
329,1,1,0,0,Burgomaster
330,1,1,0,0,Charles Auchester.= By E. Berger
331,1,1,0,0,Charles O'Malley.= By Charles Lever
332,1,1,0,0,Regina Maria Roche
267,1,1,0,0,Pamela
334,1,1,0,0,Thomas De Quincey
266,1,1,0,0,Clarissa
336,1,1,0,0,Corinne.=
337,1,1,0,0,Madame De Stael
265,1,1,0,0,Grandison
339,1,1,0,0,Cranford.= By Mrs. Gaskell
340,1,1,0,0,Crown of Wild Olive
263,1,1,0,0,Clip
342,1,1,0,0,Daniel Deronda.= By George Eliot
26,1,1,0,0,Rosencrantz
255,1,1,0,0,Jew
345,1,1,0,0,Deemster
346,1,1,0,0,Deerslayer
254,1,1,0,0,Children of Joy
348,1,1,0,0,Dombey
27,1,1,0,0,Guildenstern
321,1,1,0,0,Benjamin Franklin.=
252,1,1,0,0,Gabriel
271,1,1,0,0,Old Truepenny
290,1,1,0,0,"God,--a"
295,1,1,0,0,the Danaides
296,1,1,0,0,Sisyphus
288,1,1,0,0,Bathsheba
299,1,1,0,0,Meanwhile
285,1,1,0,0,Damon
282,1,1,0,0,the Invisible Power
302,1,1,0,0,the Herrnhuters
281,1,1,0,0,Orsina
304,1,1,0,0,"Lydia,--if"
280,1,1,0,0,Appiani
279,1,1,0,0,Odoardo
307,1,1,0,0,"Felix""--"
309,1,1,0,0,CHAPTER IX
310,1,1,0,0,Adam Bede.=
311,1,1,0,0,Æsop
275,1,1,0,0,Cecilia
274,1,1,0,0,"Serlo,--an"
273,1,1,0,0,CHAPTER XIII
316,1,1,0,0,Rice
317,1,1,0,0,Andersen
272,1,1,0,0,the Shades
319,1,1,0,0,Auld Licht Idylls.= By James M. Barrie
253,1,1,0,0,Martyr
251,1,1,0,0,Happy
410,1,1,0,0,Old Myddelton
226,1,1,0,0,Pallas
222,1,1,0,0,Child
217,1,1,0,0,Goethe's.--ED
216,1,1,0,0,Mathilde
387,1,1,0,0,John Halifax
388,1,1,0,0,Miss Muloch
389,1,1,0,0,Kitty.=
390,1,1,0,0,Kith
391,1,1,0,0,Knight Errant.=
392,1,1,0,0,Ludovic - Halevy
393,1,1,0,0,Sir Edwin Arnold
394,1,1,0,0,Lorna Doone.=
395,1,1,0,0,Louise de la Valliere.=
397,1,1,0,0,Friend?=
398,1,1,0,0,Lucile.= By Owen Meredith
210,1,1,0,0,Pshaw
401,1,1,0,0,G. M. Fenn
206,1,1,0,0,the Melinas
205,1,1,0,0,The Hercules
291,1,1,0,0,the Herrnhuter Community
406,1,1,0,0,Henry Drummond
204,1,1,0,0,Eve
408,1,1,0,0,Nicholas Nickleby.=
409,1,1,0,0,Old Ma'm'selle
224,1,1,0,0,the Baroness von C----
380,1,1,0,0,Victor Hugo
250,1,1,0,0,Cupid
227,1,1,0,0,Corneille
354,1,1,0,0,Mrs. Henry Wood
247,1,1,0,0,Saint Charity
246,1,1,0,0,Saint Valentine
357,1,1,0,0,Charles Lamb
244,1,1,0,0,CHAPTER XV
359,1,1,0,0,Crowd.= By Thos . Hardy
360,1,1,0,0,E. S. Creasy
361,1,1,0,0,Emile Gaboriau
240,1,1,0,0,Fright
238,1,1,0,0,Soft
364,1,1,0,0,Edgar A. Poe
237,1,1,0,0,Fata Morgana
366,1,1,0,0,Grant Allen
367,1,1,0,0,Mary Hoppus
368,1,1,0,0,Green Mountain Boys
369,1,1,0,0,D. P. Thompson
236,1,1,0,0,Jove
371,1,1,0,0,Gulliver
372,1,1,0,0,Dean Swift
374,1,1,0,0,Hardy Norseman
232,1,1,0,0,Embryos
230,1,1,0,0,"Jarno,--a"
228,1,1,0,0,Louis Fourteenth
110,1,1,0,0,CHARLOTTE M. YONGE
