novel,n_nodes,n_edges,density,hyperbolicity,gini,centralization,clustering,assortativity
Jane Eyre,312,1104,0.022755379668562947,1.0,0.6005202526941658,0.7375998340421118,0.7158612074794386,-0.25533155991477213
Pride and Prejudice,126,898,0.11403174603174603,1.0,0.5348481634673172,0.6726451612903226,0.7530569618340482,-0.36867582286850753
Wilhelm Meister,168,529,0.03771029369831765,1.0,0.5799239355477541,0.6951157925113628,0.6270796348422517,-0.27868582803526015
