character,tag,count,novel
Cæsar,DN,1,The_Mysteries_of_London4
Dowager - Marchioness,N,2,The_Mysteries_of_London4
Dowager - Marchioness,C,0,The_Mysteries_of_London4
Dowager - Marchioness,I,2,The_Mysteries_of_London4
Dowager - Marchioness,A,0,The_Mysteries_of_London4
Dowager - Marchioness,DC,0,The_Mysteries_of_London4
Dowager - Marchioness,DN,0,The_Mysteries_of_London4
Dr. Lascelles,N,27,The_Mysteries_of_London4
Dr. Lascelles,C,20,The_Mysteries_of_London4
Dr. Lascelles,I,12,The_Mysteries_of_London4
Dr. Lascelles,A,17,The_Mysteries_of_London4
Dr. Lascelles,DC,2,The_Mysteries_of_London4
Dr. Lascelles,DN,0,The_Mysteries_of_London4
Dr. Swinton,N,17,The_Mysteries_of_London4
Dr. Swinton,C,8,The_Mysteries_of_London4
Dr. Swinton,I,5,The_Mysteries_of_London4
Dr. Swinton,A,10,The_Mysteries_of_London4
Dr. Swinton,DC,6,The_Mysteries_of_London4
Dr. Swinton,DN,1,The_Mysteries_of_London4
Dummerley,N,5,The_Mysteries_of_London4
Dummerley,C,0,The_Mysteries_of_London4
Dummerley,I,1,The_Mysteries_of_London4
Dummerley,A,1,The_Mysteries_of_London4
Dummerley,DC,3,The_Mysteries_of_London4
Dummerley,DN,1,The_Mysteries_of_London4
Dykes,N,60,The_Mysteries_of_London4
Dykes,C,53,The_Mysteries_of_London4
Dykes,I,26,The_Mysteries_of_London4
Dykes,A,35,The_Mysteries_of_London4
Dykes,DC,25,The_Mysteries_of_London4
Dykes,DN,3,The_Mysteries_of_London4
Editha,N,20,The_Mysteries_of_London4
Editha,C,0,The_Mysteries_of_London4
Editha,I,3,The_Mysteries_of_London4
Editha,A,5,The_Mysteries_of_London4
Editha,DC,23,The_Mysteries_of_London4
Editha,DN,0,The_Mysteries_of_London4
Ellen,N,101,The_Mysteries_of_London4
Ellen,C,28,The_Mysteries_of_London4
Ellen,I,53,The_Mysteries_of_London4
Ellen,A,106,The_Mysteries_of_London4
Ellen,DC,18,The_Mysteries_of_London4
Ellen,DN,26,The_Mysteries_of_London4
Ellen;--and,N,1,The_Mysteries_of_London4
Ellen;--and,C,0,The_Mysteries_of_London4
Ellen;--and,I,0,The_Mysteries_of_London4
Ellen;--and,A,4,The_Mysteries_of_London4
Ellen;--and,DC,0,The_Mysteries_of_London4
Ellen;--and,DN,0,The_Mysteries_of_London4
Esther,N,77,The_Mysteries_of_London4
Esther,C,36,The_Mysteries_of_London4
Esther,I,22,The_Mysteries_of_London4
Esther,A,41,The_Mysteries_of_London4
Esther,DC,32,The_Mysteries_of_London4
Esther,DN,5,The_Mysteries_of_London4
Esther de Medina,N,8,The_Mysteries_of_London4
Esther de Medina,C,4,The_Mysteries_of_London4
Esther de Medina,I,0,The_Mysteries_of_London4
Esther de Medina,A,9,The_Mysteries_of_London4
Esther de Medina,DC,4,The_Mysteries_of_London4
Esther de Medina,DN,0,The_Mysteries_of_London4
Father,N,5,The_Mysteries_of_London4
Father,C,0,The_Mysteries_of_London4
Father,I,0,The_Mysteries_of_London4
Father,A,0,The_Mysteries_of_London4
Father,DC,4,The_Mysteries_of_London4
Father,DN,0,The_Mysteries_of_London4
Fitzgeorge,N,14,The_Mysteries_of_London4
