character,tag,count,novel
Heaven,C,0,The_Heart_of_Midlothian1
Heaven,I,1,The_Heart_of_Midlothian1
Heaven,A,0,The_Heart_of_Midlothian1
Heaven,DC,1,The_Heart_of_Midlothian1
Heaven,DN,0,The_Heart_of_Midlothian1
Helen Walker,N,26,The_Heart_of_Midlothian1
Helen Walker,C,1,The_Heart_of_Midlothian1
Helen Walker,I,4,The_Heart_of_Midlothian1
Helen Walker,A,11,The_Heart_of_Midlothian1
Helen Walker,DC,0,The_Heart_of_Midlothian1
Helen Walker,DN,3,The_Heart_of_Midlothian1
Hetty,N,3,The_Heart_of_Midlothian1
Hetty,C,0,The_Heart_of_Midlothian1
Hetty,I,0,The_Heart_of_Midlothian1
Hetty,A,1,The_Heart_of_Midlothian1
Hetty,DC,0,The_Heart_of_Midlothian1
Hetty,DN,3,The_Heart_of_Midlothian1
Hogg,N,3,The_Heart_of_Midlothian1
Hogg,C,4,The_Heart_of_Midlothian1
Hogg,I,1,The_Heart_of_Midlothian1
Hogg,A,1,The_Heart_of_Midlothian1
Hogg,DC,0,The_Heart_of_Midlothian1
Hogg,DN,0,The_Heart_of_Midlothian1
JEDEDIAH CLEISHBOTHAM,N,4,The_Heart_of_Midlothian1
JEDEDIAH CLEISHBOTHAM,C,4,The_Heart_of_Midlothian1
JEDEDIAH CLEISHBOTHAM,I,0,The_Heart_of_Midlothian1
JEDEDIAH CLEISHBOTHAM,A,1,The_Heart_of_Midlothian1
JEDEDIAH CLEISHBOTHAM,DC,0,The_Heart_of_Midlothian1
JEDEDIAH CLEISHBOTHAM,DN,0,The_Heart_of_Midlothian1
Jack,N,5,The_Heart_of_Midlothian1
Jack,C,0,The_Heart_of_Midlothian1
Jack,I,2,The_Heart_of_Midlothian1
Jack,A,4,The_Heart_of_Midlothian1
Jack,DC,6,The_Heart_of_Midlothian1
Jack,DN,1,The_Heart_of_Midlothian1
Jeanie,N,263,The_Heart_of_Midlothian1
Jeanie,C,150,The_Heart_of_Midlothian1
Jeanie,I,97,The_Heart_of_Midlothian1
Jeanie,A,168,The_Heart_of_Midlothian1
Jeanie,DC,44,The_Heart_of_Midlothian1
Jeanie,DN,26,The_Heart_of_Midlothian1
Jenny,N,6,The_Heart_of_Midlothian1
