character,tag,count,novel
Adelais,N,137,The_Mysteries_of_London3
Adelais,C,33,The_Mysteries_of_London3
Adelais,I,32,The_Mysteries_of_London3
Adelais,A,34,The_Mysteries_of_London3
Adelais,DC,33,The_Mysteries_of_London3
Adelais,DN,5,The_Mysteries_of_London3
Alexander,N,109,The_Mysteries_of_London3
Alexander,C,0,The_Mysteries_of_London3
Alexander,I,41,The_Mysteries_of_London3
Alexander,A,80,The_Mysteries_of_London3
Alexander,DC,111,The_Mysteries_of_London3
Alexander,DN,4,The_Mysteries_of_London3
Alice,N,4,The_Mysteries_of_London3
Alice,C,1,The_Mysteries_of_London3
Alice,I,1,The_Mysteries_of_London3
Alice,A,2,The_Mysteries_of_London3
Alice,DC,6,The_Mysteries_of_London3
Alice,DN,0,The_Mysteries_of_London3
Arthur,N,195,The_Mysteries_of_London3
Arthur,C,102,The_Mysteries_of_London3
Arthur,I,116,The_Mysteries_of_London3
Arthur,A,175,The_Mysteries_of_London3
Arthur,DC,98,The_Mysteries_of_London3
Arthur,DN,27,The_Mysteries_of_London3
Atkins,N,5,The_Mysteries_of_London3
Atkins,C,0,The_Mysteries_of_London3
Atkins,I,0,The_Mysteries_of_London3
Atkins,A,1,The_Mysteries_of_London3
Atkins,DC,0,The_Mysteries_of_London3
Atkins,DN,1,The_Mysteries_of_London3
Aunt,N,1,The_Mysteries_of_London3
Aunt,C,0,The_Mysteries_of_London3
Aunt,I,1,The_Mysteries_of_London3
Aunt,A,1,The_Mysteries_of_London3
Aunt,DC,4,The_Mysteries_of_London3
Aunt,DN,2,The_Mysteries_of_London3
Barlow,N,6,The_Mysteries_of_London3
Barlow,C,1,The_Mysteries_of_London3
Barlow,I,0,The_Mysteries_of_London3
Barlow,A,8,The_Mysteries_of_London3
Barlow,DC,2,The_Mysteries_of_London3
Barlow,DN,3,The_Mysteries_of_London3
Bertinshaw,N,7,The_Mysteries_of_London3
Bertinshaw,C,4,The_Mysteries_of_London3
Bertinshaw,I,1,The_Mysteries_of_London3
Bertinshaw,A,1,The_Mysteries_of_London3
Bertinshaw,DC,2,The_Mysteries_of_London3
Bertinshaw,DN,0,The_Mysteries_of_London3
Betsy,N,21,The_Mysteries_of_London3
Betsy,C,5,The_Mysteries_of_London3
Betsy,I,2,The_Mysteries_of_London3
Betsy,A,8,The_Mysteries_of_London3
Betsy,DC,18,The_Mysteries_of_London3
Betsy,DN,0,The_Mysteries_of_London3
Bingham,N,25,The_Mysteries_of_London3
Bingham,C,7,The_Mysteries_of_London3
Bingham,I,5,The_Mysteries_of_London3
Bingham,A,5,The_Mysteries_of_London3
Bingham,DC,6,The_Mysteries_of_London3
Bingham,DN,0,The_Mysteries_of_London3
Bones,N,183,The_Mysteries_of_London3
Bones,C,99,The_Mysteries_of_London3
Bones,I,52,The_Mysteries_of_London3
Bones,A,103,The_Mysteries_of_London3
Bones,DC,119,The_Mysteries_of_London3
Bones,DN,14,The_Mysteries_of_London3
CHAPTER LIX,N,1,The_Mysteries_of_London3
CHAPTER LIX,C,1,The_Mysteries_of_London3
CHAPTER LIX,I,2,The_Mysteries_of_London3
CHAPTER LIX,A,3,The_Mysteries_of_London3
CHAPTER LIX,DC,0,The_Mysteries_of_London3
CHAPTER LIX,DN,0,The_Mysteries_of_London3
Captain Mordaunt,N,7,The_Mysteries_of_London3
Captain Mordaunt,C,2,The_Mysteries_of_London3
Captain Mordaunt,I,2,The_Mysteries_of_London3
Captain Mordaunt,A,3,The_Mysteries_of_London3
Captain Mordaunt,DC,0,The_Mysteries_of_London3
Captain Mordaunt,DN,0,The_Mysteries_of_London3
Captain O'Blunderbuss,N,102,The_Mysteries_of_London3
Captain O'Blunderbuss,C,82,The_Mysteries_of_London3
Captain O'Blunderbuss,I,24,The_Mysteries_of_London3
Captain O'Blunderbuss,A,53,The_Mysteries_of_London3
Captain O'Blunderbuss,DC,11,The_Mysteries_of_London3
Captain O'Blunderbuss,DN,7,The_Mysteries_of_London3
Captain Prosser,N,3,The_Mysteries_of_London3
Captain Prosser,C,0,The_Mysteries_of_London3
Captain Prosser,I,3,The_Mysteries_of_London3
Captain Prosser,A,8,The_Mysteries_of_London3
Captain Prosser,DC,13,The_Mysteries_of_London3
Captain Prosser,DN,0,The_Mysteries_of_London3
Capthain Mordaunt,N,1,The_Mysteries_of_London3
Capthain Mordaunt,C,0,The_Mysteries_of_London3
Capthain Mordaunt,I,1,The_Mysteries_of_London3
Capthain Mordaunt,A,2,The_Mysteries_of_London3
