character,tag,count,novel
Miss Higgins,C,0,The_Story_of_a_Modern_Woman
Miss Higgins,I,0,The_Story_of_a_Modern_Woman
Miss Higgins,A,4,The_Story_of_a_Modern_Woman
Miss Higgins,DC,3,The_Story_of_a_Modern_Woman
Miss Higgins,DN,2,The_Story_of_a_Modern_Woman
Miss Simpkins,N,6,The_Story_of_a_Modern_Woman
Miss Simpkins,C,0,The_Story_of_a_Modern_Woman
Miss Simpkins,I,1,The_Story_of_a_Modern_Woman
Miss Simpkins,A,1,The_Story_of_a_Modern_Woman
Miss Simpkins,DC,4,The_Story_of_a_Modern_Woman
Miss Simpkins,DN,0,The_Story_of_a_Modern_Woman
Mr. Beaufort Flower,N,8,The_Story_of_a_Modern_Woman
Mr. Beaufort Flower,C,6,The_Story_of_a_Modern_Woman
Mr. Beaufort Flower,I,2,The_Story_of_a_Modern_Woman
Mr. Beaufort Flower,A,2,The_Story_of_a_Modern_Woman
Mr. Beaufort Flower,DC,0,The_Story_of_a_Modern_Woman
Mr. Beaufort Flower,DN,0,The_Story_of_a_Modern_Woman
Mr. Bosanquet−Barry,N,14,The_Story_of_a_Modern_Woman
Mr. Bosanquet−Barry,C,12,The_Story_of_a_Modern_Woman
Mr. Bosanquet−Barry,I,10,The_Story_of_a_Modern_Woman
Mr. Bosanquet−Barry,A,11,The_Story_of_a_Modern_Woman
Mr. Bosanquet−Barry,DC,2,The_Story_of_a_Modern_Woman
Mr. Bosanquet−Barry,DN,1,The_Story_of_a_Modern_Woman
Mr. Sanderson,N,2,The_Story_of_a_Modern_Woman
Mr. Sanderson,C,2,The_Story_of_a_Modern_Woman
Mr. Sanderson,I,1,The_Story_of_a_Modern_Woman
Mr. Sanderson,A,0,The_Story_of_a_Modern_Woman
Mr. Sanderson,DC,0,The_Story_of_a_Modern_Woman
Mr. Sanderson,DN,1,The_Story_of_a_Modern_Woman
Mr. Somervail,N,6,The_Story_of_a_Modern_Woman
Mr. Somervail,C,2,The_Story_of_a_Modern_Woman
Mr. Somervail,I,1,The_Story_of_a_Modern_Woman
Mr. Somervail,A,4,The_Story_of_a_Modern_Woman
Mr. Somervail,DC,0,The_Story_of_a_Modern_Woman
Mr. Somervail,DN,3,The_Story_of_a_Modern_Woman
Mrs. Vincent Hemming,N,2,The_Story_of_a_Modern_Woman
Mrs. Vincent Hemming,C,0,The_Story_of_a_Modern_Woman
Mrs. Vincent Hemming,I,0,The_Story_of_a_Modern_Woman
Mrs. Vincent Hemming,A,3,The_Story_of_a_Modern_Woman
Mrs. Vincent Hemming,DC,0,The_Story_of_a_Modern_Woman
Mrs. Vincent Hemming,DN,1,The_Story_of_a_Modern_Woman
Perry,N,54,The_Story_of_a_Modern_Woman
Perry,C,38,The_Story_of_a_Modern_Woman
Perry,I,20,The_Story_of_a_Modern_Woman
Perry,A,29,The_Story_of_a_Modern_Woman
Perry,DC,14,The_Story_of_a_Modern_Woman
Perry,DN,7,The_Story_of_a_Modern_Woman
Professor Erle,N,8,The_Story_of_a_Modern_Woman
Professor Erle,C,1,The_Story_of_a_Modern_Woman
Professor Erle,I,0,The_Story_of_a_Modern_Woman
Professor Erle,A,0,The_Story_of_a_Modern_Woman
Professor Erle,DC,1,The_Story_of_a_Modern_Woman
Professor Erle,DN,2,The_Story_of_a_Modern_Woman
Sarah,N,4,The_Story_of_a_Modern_Woman
Sarah,C,4,The_Story_of_a_Modern_Woman
Sarah,I,1,The_Story_of_a_Modern_Woman
Sarah,A,1,The_Story_of_a_Modern_Woman
Sarah,DC,1,The_Story_of_a_Modern_Woman
Sarah,DN,0,The_Story_of_a_Modern_Woman
Sir Horace,N,8,The_Story_of_a_Modern_Woman
Sir Horace,C,0,The_Story_of_a_Modern_Woman
Sir Horace,I,3,The_Story_of_a_Modern_Woman
Sir Horace,A,3,The_Story_of_a_Modern_Woman
Sir Horace,DC,1,The_Story_of_a_Modern_Woman
Sir Horace,DN,1,The_Story_of_a_Modern_Woman
Sister Charlotte,N,8,The_Story_of_a_Modern_Woman
Sister Charlotte,C,7,The_Story_of_a_Modern_Woman
Sister Charlotte,I,1,The_Story_of_a_Modern_Woman
Sister Charlotte,A,4,The_Story_of_a_Modern_Woman
Sister Charlotte,DC,1,The_Story_of_a_Modern_Woman
Sister Charlotte,DN,0,The_Story_of_a_Modern_Woman
Smith minor,N,4,The_Story_of_a_Modern_Woman
Smith minor,C,0,The_Story_of_a_Modern_Woman
Smith minor,I,0,The_Story_of_a_Modern_Woman
Smith minor,A,0,The_Story_of_a_Modern_Woman
Smith minor,DC,1,The_Story_of_a_Modern_Woman
Smith minor,DN,0,The_Story_of_a_Modern_Woman
Victoria,N,4,The_Story_of_a_Modern_Woman
Victoria,C,0,The_Story_of_a_Modern_Woman
Victoria,I,1,The_Story_of_a_Modern_Woman
Victoria,A,1,The_Story_of_a_Modern_Woman
Victoria,DC,3,The_Story_of_a_Modern_Woman
Victoria,DN,0,The_Story_of_a_Modern_Woman
Vincent,N,117,The_Story_of_a_Modern_Woman
Vincent,C,36,The_Story_of_a_Modern_Woman
Vincent,I,56,The_Story_of_a_Modern_Woman
Vincent,A,115,The_Story_of_a_Modern_Woman
Vincent,DC,47,The_Story_of_a_Modern_Woman
Vincent,DN,27,The_Story_of_a_Modern_Woman
old Jack Madder,N,3,The_Story_of_a_Modern_Woman
old Jack Madder,C,0,The_Story_of_a_Modern_Woman
old Jack Madder,I,0,The_Story_of_a_Modern_Woman
old Jack Madder,A,0,The_Story_of_a_Modern_Woman
old Jack Madder,DC,0,The_Story_of_a_Modern_Woman
old Jack Madder,DN,4,The_Story_of_a_Modern_Woman
