character,tag,count,novel
Matilda,A,2,Armadale
Matilda,DC,6,Armadale
Matilda,DN,0,Armadale
Midnight.--Midwinter,N,1,Armadale
Midnight.--Midwinter,C,0,Armadale
Midnight.--Midwinter,I,2,Armadale
Midnight.--Midwinter,A,9,Armadale
Midnight.--Midwinter,DC,19,Armadale
Midnight.--Midwinter,DN,0,Armadale
Midwinter,N,896,Armadale
Midwinter,C,699,Armadale
Midwinter,I,620,Armadale
Midwinter,A,969,Armadale
Midwinter,DC,373,Armadale
Midwinter,DN,64,Armadale
Miss,N,1,Armadale
Miss,C,0,Armadale
Miss,I,1,Armadale
Miss,A,2,Armadale
Miss,DC,2,Armadale
Miss,DN,0,Armadale
Miss Blanchard,N,30,Armadale
Miss Blanchard,C,0,Armadale
Miss Blanchard,I,1,Armadale
Miss Blanchard,A,3,Armadale
Miss Blanchard,DC,28,Armadale
Miss Blanchard,DN,0,Armadale
Miss Gwilt,N,457,Armadale
Miss Gwilt,C,688,Armadale
Miss Gwilt,I,711,Armadale
Miss Gwilt,A,965,Armadale
Miss Gwilt,DC,298,Armadale
Miss Gwilt,DN,25,Armadale
Miss Milroy,N,236,Armadale
Miss Milroy,C,69,Armadale
Miss Milroy,I,75,Armadale
Miss Milroy,A,103,Armadale
Miss Milroy,DC,154,Armadale
Miss Milroy,DN,23,Armadale
Monday,N,5,Armadale
Monday,C,0,Armadale
Monday,I,0,Armadale
Monday,A,1,Armadale
Monday,DC,1,Armadale
Monday,DN,0,Armadale
Mother Jezebel,N,8,Armadale
Mother Jezebel,C,0,Armadale
Mother Jezebel,I,2,Armadale
Mother Jezebel,A,2,Armadale
Mother Jezebel,DC,8,Armadale
Mother Jezebel,DN,0,Armadale
Mother Oldershaw,N,29,Armadale
Mother Oldershaw,C,0,Armadale
Mother Oldershaw,I,8,Armadale
Mother Oldershaw,A,12,Armadale
Mother Oldershaw,DC,31,Armadale
Mother Oldershaw,DN,2,Armadale
Mr. Armadale,N,666,Armadale
Mr. Armadale,C,16,Armadale
Mr. Armadale,I,152,Armadale
Mr. Armadale,A,243,Armadale
Mr. Armadale,DC,648,Armadale
Mr. Armadale,DN,38,Armadale
Mr. Bashwood,N,354,Armadale
Mr. Bashwood,C,196,Armadale
Mr. Bashwood,I,190,Armadale
Mr. Bashwood,A,374,Armadale
Mr. Bashwood,DC,146,Armadale
Mr. Bashwood,DN,44,Armadale
Mr. Blanchard,N,36,Armadale
Mr. Blanchard,C,0,Armadale
Mr. Blanchard,I,9,Armadale
Mr. Blanchard,A,12,Armadale
Mr. Blanchard,DC,38,Armadale
Mr. Blanchard,DN,0,Armadale
Mr. Brock,N,247,Armadale
Mr. Brock,C,97,Armadale
Mr. Brock,I,140,Armadale
Mr. Brock,A,222,Armadale
Mr. Brock,DC,86,Armadale
Mr. Brock,DN,20,Armadale
Mr. Darch,N,36,Armadale
Mr. Darch,C,0,Armadale
Mr. Darch,I,4,Armadale
Mr. Darch,A,8,Armadale
Mr. Darch,DC,17,Armadale
Mr. Darch,DN,2,Armadale
Mr. Hawbury,N,37,Armadale
Mr. Hawbury,C,57,Armadale
Mr. Hawbury,I,24,Armadale
Mr. Hawbury,A,30,Armadale
Mr. Hawbury,DC,8,Armadale
Mr. Hawbury,DN,3,Armadale
Mr. Mack,N,5,Armadale
Mr. Mack,C,1,Armadale
Mr. Mack,I,2,Armadale
Mr. Mack,A,0,Armadale
Mr. Mack,DC,0,Armadale
Mr. Mack,DN,0,Armadale
Mr. Neal,N,65,Armadale
Mr. Neal,C,139,Armadale
Mr. Neal,I,116,Armadale
Mr. Neal,A,157,Armadale
Mr. Neal,DC,2,Armadale
Mr. Neal,DN,6,Armadale
Mr. Smart,N,2,Armadale
Mr. Smart,C,0,Armadale
Mr. Smart,I,3,Armadale
Mr. Smart,A,0,Armadale
Mr. Smart,DC,0,Armadale
Mr. Smart,DN,0,Armadale
Mr. Waldron,N,12,Armadale
Mr. Waldron,C,0,Armadale
Mr. Waldron,I,4,Armadale
Mr. Waldron,A,17,Armadale
Mr. Waldron,DC,8,Armadale
Mr. Waldron,DN,5,Armadale
Mrs. Armadale,N,52,Armadale
Mrs. Armadale,C,3,Armadale
Mrs. Armadale,I,8,Armadale
Mrs. Armadale,A,13,Armadale
Mrs. Armadale,DC,27,Armadale
Mrs. Armadale,DN,4,Armadale
Mrs. Blanchard,N,23,Armadale
Mrs. Blanchard,C,0,Armadale
Mrs. Blanchard,I,2,Armadale
Mrs. Blanchard,A,4,Armadale
Mrs. Blanchard,DC,24,Armadale
Mrs. Blanchard,DN,0,Armadale
Mrs. Gripper,N,10,Armadale
Mrs. Gripper,C,0,Armadale
Mrs. Gripper,I,0,Armadale
Mrs. Gripper,A,8,Armadale
Mrs. Gripper,DC,4,Armadale
Mrs. Gripper,DN,1,Armadale
Mrs. Mandeville,N,30,Armadale
Mrs. Mandeville,C,0,Armadale
Mrs. Mandeville,I,0,Armadale
Mrs. Mandeville,A,11,Armadale
Mrs. Mandeville,DC,26,Armadale
Mrs. Mandeville,DN,0,Armadale
Mrs. Milroy,N,148,Armadale
Mrs. Milroy,C,118,Armadale
Mrs. Milroy,I,57,Armadale
Mrs. Milroy,A,98,Armadale
Mrs. Milroy,DC,39,Armadale
Mrs. Milroy,DN,7,Armadale
Mrs. Oldershaw,N,64,Armadale
Mrs. Oldershaw,C,108,Armadale
Mrs. Oldershaw,I,93,Armadale
Mrs. Oldershaw,A,123,Armadale
Mrs. Oldershaw,DC,26,Armadale
Mrs. Oldershaw,DN,4,Armadale
Mrs. Pentecost,N,35,Armadale
Mrs. Pentecost,C,31,Armadale
Mrs. Pentecost,I,15,Armadale
Mrs. Pentecost,A,15,Armadale
Mrs. Pentecost,DC,7,Armadale
Mrs. Pentecost,DN,1,Armadale
Mrs. Waldron,N,5,Armadale
Mrs. Waldron,C,0,Armadale
Mrs. Waldron,I,5,Armadale
Mrs. Waldron,A,12,Armadale
Mrs. Waldron,DC,8,Armadale
Mrs. Waldron,DN,1,Armadale
Mustapha,N,7,Armadale
Mustapha,C,0,Armadale
Mustapha,I,1,Armadale
Mustapha,A,1,Armadale
Mustapha,DC,7,Armadale
Mustapha,DN,0,Armadale
Neelie,N,136,Armadale
Neelie,C,114,Armadale
Neelie,I,92,Armadale
Neelie,A,121,Armadale
Neelie,DC,94,Armadale
Neelie,DN,6,Armadale
Papa,N,20,Armadale
Papa,C,0,Armadale
Papa,I,5,Armadale
Papa,A,8,Armadale
Papa,DC,29,Armadale
Papa,DN,1,Armadale
Pedgift Junior,N,177,Armadale
Pedgift Junior,C,157,Armadale
Pedgift Junior,I,69,Armadale
Pedgift Junior,A,131,Armadale
Pedgift Junior,DC,41,Armadale
Pedgift Junior,DN,10,Armadale
Pedgift Senior,N,135,Armadale
Pedgift Senior,C,116,Armadale
Pedgift Senior,I,88,Armadale
Pedgift Senior,A,107,Armadale
Pedgift Senior,DC,59,Armadale
Pedgift Senior,DN,4,Armadale
Rachel,N,13,Armadale
Rachel,C,12,Armadale
Rachel,I,1,Armadale
Rachel,A,10,Armadale
Rachel,DC,6,Armadale
