character,tag,count,novel
Mr. Sleary,DN,7,Hard_Times
Mrs. Gradgrind,N,48,Hard_Times
Mrs. Gradgrind,C,36,Hard_Times
Mrs. Gradgrind,I,32,Hard_Times
Mrs. Gradgrind,A,32,Hard_Times
Mrs. Gradgrind,DC,14,Hard_Times
Mrs. Gradgrind,DN,4,Hard_Times
Mrs. Pegler,N,25,Hard_Times
Mrs. Pegler,C,15,Hard_Times
Mrs. Pegler,I,9,Hard_Times
Mrs. Pegler,A,16,Hard_Times
Mrs. Pegler,DC,6,Hard_Times
Mrs. Pegler,DN,5,Hard_Times
Nickits,N,6,Hard_Times
Nickits,C,0,Hard_Times
Nickits,I,0,Hard_Times
Nickits,A,1,Hard_Times
Nickits,DC,1,Hard_Times
Nickits,DN,0,Hard_Times
No little Gradgrind,N,5,Hard_Times
No little Gradgrind,C,0,Hard_Times
No little Gradgrind,I,2,Hard_Times
No little Gradgrind,A,4,Hard_Times
No little Gradgrind,DC,0,Hard_Times
No little Gradgrind,DN,0,Hard_Times
Pegasus,N,2,Hard_Times
Pegasus,C,0,Hard_Times
Pegasus,I,0,Hard_Times
Pegasus,A,0,Hard_Times
Pegasus,DC,0,Hard_Times
Pegasus,DN,0,Hard_Times
Rachael,N,148,Hard_Times
Rachael,C,107,Hard_Times
Rachael,I,58,Hard_Times
Rachael,A,110,Hard_Times
Rachael,DC,29,Hard_Times
Rachael,DN,12,Hard_Times
Rachel,N,1,Hard_Times
Rachel,C,2,Hard_Times
Rachel,I,1,Hard_Times
Rachel,A,1,Hard_Times
Rachel,DC,0,Hard_Times
Rachel,DN,0,Hard_Times
Signor Jupe,N,3,Hard_Times
Signor Jupe,C,3,Hard_Times
Signor Jupe,I,0,Hard_Times
Signor Jupe,A,4,Hard_Times
Signor Jupe,DC,0,Hard_Times
Signor Jupe,DN,3,Hard_Times
Sissy,N,183,Hard_Times
Sissy,C,94,Hard_Times
Sissy,I,74,Hard_Times
Sissy,A,131,Hard_Times
Sissy,DC,108,Hard_Times
Sissy,DN,10,Hard_Times
Slackbridge,N,19,Hard_Times
Slackbridge,C,13,Hard_Times
Slackbridge,I,5,Hard_Times
Slackbridge,A,17,Hard_Times
Slackbridge,DC,1,Hard_Times
Slackbridge,DN,0,Hard_Times
Stephen,N,186,Hard_Times
Stephen,C,120,Hard_Times
Stephen,I,134,Hard_Times
Stephen,A,212,Hard_Times
Stephen,DC,114,Hard_Times
Stephen,DN,31,Hard_Times
Thethilia,N,9,Hard_Times
Thethilia,C,0,Hard_Times
Thethilia,I,0,Hard_Times
Thethilia,A,2,Hard_Times
Thethilia,DC,9,Hard_Times
Thethilia,DN,0,Hard_Times
Thomas Gradgrind,N,7,Hard_Times
Thomas Gradgrind,C,0,Hard_Times
Thomas Gradgrind,I,0,Hard_Times
