novel,graph_type,n_nodes,n_edges,density,degree_mean,degree_std,degree_max,degree_gini,degree_centralization,assortativity,clustering_avg,transitivity,avg_path_length,n_components,largest_component_frac,delta_max,delta_mean,delta_median,small_world_sigma,powerlaw_alpha,powerlaw_xmin
A_Tale_of_Two_Cities,cooccurrence,175,396,0.026009852216748768,4.525714285714286,7.6925322918545165,52,0.6643145743145742,0.2759949505016278,-0.2874767674057567,0.4144552108936321,0.26011560693641617,2.7017429193899782,35,0.7771428571428571,1.0,0.165,0.0,3.828917385530517,1.9380799789809409,1.0
A_Tale_of_Two_Cities,dialogue,34,81,0.1443850267379679,4.764705882352941,4.372768832951953,17,0.48039215686274517,0.3939393939393939,-0.21167048054919888,0.32785377348526135,0.4142857142857143,2.4402852049910875,1,1.0,1.0,0.189,0.0,2.113444110625815,1.741701424346342,1.0
Adam_Bede,cooccurrence,309,1657,0.03482116588912705,10.724919093851133,18.48060455544013,150,0.6200330850974487,0.45513769618004146,-0.36423988333937235,0.7315245779337745,0.2340122820516543,2.3917308253462326,10,0.9676375404530745,1.0,0.1595,0.0,3.6720647772436332,1.7140464357289011,1.0
Adam_Bede,dialogue,63,188,0.09626216077828981,5.968253968253968,6.458581725406446,29,0.5098784194528876,0.38365943945002645,-0.25014969950295407,0.43615928859592745,0.32161921708185054,2.401433691756272,1,1.0,1.0,0.17,0.0,2.1040741436322743,1.59634026078169,1.0
Almayer's_Folly,cooccurrence,92,400,0.09555661729574773,8.695652173913043,11.053957711897052,65,0.5732880434782608,0.6324786324786325,-0.37590877268486467,0.6873602177100839,0.3779744798252673,2.032716049382716,10,0.8804347826086957,0.5,0.1155,0.0,2.9890081989286763,1.4882475246738296,1.0
Almayer's_Folly,dialogue,23,47,0.1857707509881423,4.086956521739131,3.2692645560186895,12,0.41443108233117476,0.3939393939393939,-0.2691490405047567,0.47416713721061543,0.3805970149253731,2.430830039525692,1,1.0,1.0,0.1395,0.0,2.409058455009428,1.5612205333088647,1.0
Armadale,cooccurrence,279,981,0.025295892318403342,7.032258064516129,14.773403118578065,134,0.6514747953043307,0.4600161026413526,-0.38532948414090606,0.5969562524305034,0.18372566274337257,2.388981868898187,36,0.8602150537634409,0.5,0.1275,0.0,4.045910919667937,1.8253324940989497,1.0
Armadale,dialogue,34,79,0.1408199643493761,4.647058823529412,4.48449848295198,22,0.4597915115413256,0.5587121212121212,-0.30827482234637765,0.5080107800696035,0.3476190476190476,2.2887700534759357,1,1.0,1.0,0.1045,0.0,2.736068776939008,1.6962230892527221,1.0
Aurora_Floyd1,cooccurrence,216,789,0.033979328165374675,7.305555555555555,14.159775012162505,132,0.5629606158756983,0.5853944794609868,-0.3529879510841994,0.7647746463330762,0.17518494874009538,2.2739637305699483,20,0.8935185185185185,0.5,0.12,0.0,4.385732003711317,1.8556112866238217,1.0
Aurora_Floyd1,dialogue,22,37,0.16017316017316016,3.3636363636363638,3.08287726505694,14,0.39680589680589695,0.5571428571428572,-0.3796698830099318,0.4125485625485626,0.28125,2.354978354978355,1,1.0,1.5,0.125,0.0,3.0457834275761364,1.711920995261218,1.0
Aurora_Floyd2,cooccurrence,184,583,0.034628177714421476,6.336956521739131,10.293283134829325,79,0.5665038407040048,0.4014291719209752,-0.3051128387863085,0.6951522589422534,0.22770044326930555,2.5133037694013303,18,0.8967391304347826,0.5,0.1405,0.0,4.474723921509628,1.9247599342241408,1.0
Aurora_Floyd2,dialogue,29,64,0.15763546798029557,4.413793103448276,3.961167029179139,16,0.4337284482758621,0.4444444444444444,-0.3191228006792153,0.3894175747624023,0.32286995515695066,2.2438423645320196,1,1.0,1.0,0.157,0.0,2.083808302870491,1.5962825311989004,1.0
Aurora_Floyd3,cooccurrence,102,322,0.06251213356629781,6.313725490196078,9.254548846703274,58,0.5749604189501889,0.521980198019802,-0.3679288562665925,0.6572017060891977,0.26106267478203654,2.2489481065918655,9,0.9117647058823529,0.5,0.1275,0.0,3.7263326000195875,1.7322545571401726,1.0
Aurora_Floyd3,dialogue,24,52,0.18840579710144928,4.333333333333333,3.815174380753199,15,0.44150641025641013,0.5059288537549407,-0.43198709858365014,0.557771164021164,0.3793103448275862,2.1739130434782608,1,1.0,1.0,0.1395,0.0,2.6378619519549393,1.81375421851197,1.0
Barchester_Towers,cooccurrence,373,1707,0.02460434143388394,9.152815013404826,14.71282651952581,135,0.614352508437894,0.3401225980349535,-0.23088098403512194,0.6763215139495734,0.3005083996463307,2.7428949107732983,17,0.9571045576407506,0.5,0.134,0.0,4.543649390267411,1.8304284332236838,1.0
Barchester_Towers,dialogue,64,152,0.07539682539682539,4.75,5.393862252597854,28,0.5048314144736843,0.38095238095238093,-0.2783181597399529,0.467743765629795,0.27381745502998,2.6478174603174605,1,1.0,1.0,0.167,0.0,3.172704779603819,1.8254565078405482,1.0
