novel,metric,k,gender,base_share,topk_share,rep_ratio,diff
Persuasion,in_strength,10,F,0.5882352941176471,0.4,0.68,-0.18823529411764706
Phoebe_Junior,in_strength,10,M,0.5227272727272727,0.5,0.9565217391304348,-0.022727272727272707
Phoebe_Junior,in_strength,10,F,0.4772727272727273,0.5,1.0476190476190477,0.022727272727272707
Pride_and_Prejudice,in_strength,10,M,0.391304347826087,0.5,1.2777777777777777,0.10869565217391303
Pride_and_Prejudice,in_strength,10,F,0.6086956521739131,0.5,0.8214285714285714,-0.10869565217391308
Romola,in_strength,10,M,0.8214285714285714,0.8,0.9739130434782609,-0.021428571428571352
Romola,in_strength,10,F,0.17857142857142858,0.2,1.12,0.021428571428571436
Rookwood,in_strength,10,M,0.7884615384615384,0.7,0.8878048780487805,-0.08846153846153848
Rookwood,in_strength,10,F,0.21153846153846154,0.3,1.4181818181818182,0.08846153846153845
Ruth,in_strength,10,M,0.5531914893617021,0.6,1.0846153846153845,0.04680851063829783
Ruth,in_strength,10,F,0.44680851063829785,0.4,0.8952380952380953,-0.04680851063829783
Sense_and_Sensibility,in_strength,10,M,0.4,0.5,1.25,0.09999999999999998
Sense_and_Sensibility,in_strength,10,F,0.6,0.5,0.8333333333333334,-0.09999999999999998
Shirley,in_strength,10,M,0.5568181818181818,0.7,1.2571428571428571,0.1431818181818182
Shirley,in_strength,10,F,0.4431818181818182,0.3,0.676923076923077,-0.1431818181818182
Sybil,in_strength,10,M,0.7407407407407407,0.6,0.81,-0.14074074074074072
Sybil,in_strength,10,F,0.25925925925925924,0.4,1.542857142857143,0.14074074074074078
Tess_of_the_d'Urbervilles,in_strength,10,M,0.5,0.4,0.8,-0.09999999999999998
Tess_of_the_d'Urbervilles,in_strength,10,F,0.5,0.6,1.2,0.09999999999999998
The_Heart_of_Midlothian1,in_strength,10,M,0.7021276595744681,0.7,0.9969696969696968,-0.0021276595744681437
The_Heart_of_Midlothian1,in_strength,10,F,0.2978723404255319,0.3,1.0071428571428571,0.002127659574468088
The_Heart_of_Midlothian2,in_strength,10,M,0.691358024691358,0.7,1.0125,0.00864197530864197
The_Heart_of_Midlothian2,in_strength,10,F,0.30864197530864196,0.3,0.972,-0.00864197530864197
The_Heir_of_Redclyffe,in_strength,10,M,0.6235294117647059,0.4,0.6415094339622642,-0.22352941176470587
The_Heir_of_Redclyffe,in_strength,10,F,0.3764705882352941,0.6,1.59375,0.22352941176470587
The_Invisible_Man,in_strength,10,M,0.8823529411764706,0.9,1.02,0.01764705882352946
The_Invisible_Man,in_strength,10,F,0.11764705882352941,0.1,0.8500000000000001,-0.017647058823529405
