MM,MF,FM,FF,pct_MM,pct_MF,pct_FM,pct_FF,F_out_share,F_in_share,FM_MF_ratio,novel
403,132,101,38,59.79228486646884,19.584569732937684,14.985163204747774,5.637982195845697,0.2062314540059347,0.2522255192878338,0.7651515151515151,A_Tale_of_Two_Cities
886,683,423,346,37.8956372968349,29.21300256629598,18.092386655260906,14.798973481608213,0.3289136013686912,0.44011976047904194,0.6193265007320644,Adam_Bede
125,69,64,39,42.08754208754209,23.232323232323232,21.54882154882155,13.131313131313131,0.3468013468013468,0.36363636363636365,0.927536231884058,Almayer's_Folly
503,631,1160,562,17.61204481792717,22.093837535014007,40.61624649859944,19.677871148459385,0.6029411764705882,0.4177170868347339,1.838351822503962,Armadale
25,100,44,34,12.31527093596059,49.26108374384236,21.67487684729064,16.748768472906406,0.3842364532019704,0.6600985221674877,0.44,Aurora_Floyd1
74,116,99,71,20.555555555555557,32.22222222222222,27.5,19.72222222222222,0.4722222222222222,0.5194444444444445,0.853448275862069,Aurora_Floyd2
199,146,83,31,43.35511982570806,31.808278867102395,18.082788671023966,6.753812636165577,0.24836601307189543,0.38562091503267976,0.5684931506849316,Aurora_Floyd3
223,219,458,165,20.938967136150236,20.56338028169014,43.00469483568075,15.492957746478874,0.5849765258215962,0.36056338028169016,2.0913242009132422,Barchester_Towers
237,377,893,1566,7.712333224861698,12.268141880898146,29.059550927432475,50.95997396680768,0.8001952489424016,0.6322811584770582,2.3687002652519893,Belinda
1,48,90,44,0.546448087431694,26.229508196721312,49.18032786885246,24.043715846994534,0.73224043715847,0.5027322404371585,1.875,Bébée
643,541,1189,833,20.05614472863381,16.874610106051154,37.08671241422333,25.982532751091703,0.6306924516531504,0.42857142857142855,2.1977818853974123,Can_You_Forgive_Her
594,543,852,498,23.88419782870929,21.833534378769603,34.25814234016888,20.02412545235223,0.5428226779252111,0.41857659831121835,1.569060773480663,Daniel_Deronda
578,962,860,775,18.20472440944882,30.299212598425196,27.086614173228348,24.409448818897637,0.5149606299212598,0.5470866141732283,0.893970893970894,Deerbrook
983,606,752,538,34.143799930531436,21.048975338659258,26.120180618270233,18.687044112539077,0.4480722473080931,0.39736019451198334,1.2409240924092408,Dombey_and_Son
1280,932,1541,775,28.268551236749115,20.58303886925795,34.03268551236749,17.11572438162544,0.5114840989399293,0.37698763250883394,1.6534334763948497,East_Lynne
243,600,708,841,10.158862876254181,25.08361204013378,29.598662207357858,35.15886287625418,0.6475752508361204,0.6024247491638796,1.18,Emma
302,394,446,380,19.842312746386334,25.88699080157687,29.303547963206306,24.967148488830485,0.5427069645203679,0.5085413929040736,1.131979695431472,Esther_Waters
384,119,125,66,55.331412103746395,17.146974063400577,18.011527377521613,9.510086455331413,0.27521613832853026,0.2665706051873199,1.050420168067227,Guy_Mannering
697,416,653,246,34.642147117296226,20.675944333996025,32.45526838966203,12.226640159045726,0.44681908548707755,0.3290258449304175,1.5697115384615385,Hard_Cash
428,314,162,104,42.46031746031746,31.150793650793652,16.071428571428573,10.317460317460318,0.2638888888888889,0.4146825396825397,0.5159235668789809,Hard_Times
1094,190,267,27,69.32826362484157,12.040557667934094,16.920152091254753,1.7110266159695817,0.18631178707224336,0.13751584283903676,1.4052631578947368,Jack_Sheppard
121,292,455,145,11.944718657453109,28.82527147087858,44.91609081934847,14.313919052319841,0.5923000987166831,0.43139190523198423,1.5582191780821917,Jude_the_Obscure
318,401,245,115,29.471733086190916,37.16404077849861,22.706209453197406,10.658016682113068,0.3336422613531047,0.4782205746061168,0.6109725685785536,Lady_Audley's_Secret
212,32,31,0,77.0909090909091,11.636363636363637,11.272727272727273,0.0,0.11272727272727273,0.11636363636363636,0.96875,Love_and_Mr._Lewisham
207,589,487,512,11.532033426183844,32.8133704735376,27.13091922005571,28.52367688022284,0.5565459610027855,0.6133704735376044,0.8268251273344652,Mansfield_Park
245,243,339,305,21.643109540636043,21.46643109540636,29.946996466431095,26.9434628975265,0.568904593639576,0.4840989399293286,1.3950617283950617,Mary_Barton
