character,tag,count,novel
Colonel Cholmondeley,N,80,The_Mysteries_of_London2
Colonel Cholmondeley,C,39,The_Mysteries_of_London2
Colonel Cholmondeley,I,31,The_Mysteries_of_London2
Colonel Cholmondeley,A,44,The_Mysteries_of_London2
Colonel Cholmondeley,DC,24,The_Mysteries_of_London2
Colonel Cholmondeley,DN,5,The_Mysteries_of_London2
Colonel Cossario,N,11,The_Mysteries_of_London2
Colonel Cossario,C,0,The_Mysteries_of_London2
Colonel Cossario,I,1,The_Mysteries_of_London2
Colonel Cossario,A,4,The_Mysteries_of_London2
Colonel Cossario,DC,0,The_Mysteries_of_London2
Colonel Cossario,DN,2,The_Mysteries_of_London2
Colonel Morosino,N,25,The_Mysteries_of_London2
Colonel Morosino,C,20,The_Mysteries_of_London2
Colonel Morosino,I,9,The_Mysteries_of_London2
Colonel Morosino,A,4,The_Mysteries_of_London2
Colonel Morosino,DC,10,The_Mysteries_of_London2
Colonel Morosino,DN,0,The_Mysteries_of_London2
Count Alteroni,N,8,The_Mysteries_of_London2
Count Alteroni,C,0,The_Mysteries_of_London2
Count Alteroni,I,0,The_Mysteries_of_London2
Count Alteroni,A,0,The_Mysteries_of_London2
Count Alteroni,DC,3,The_Mysteries_of_London2
Count Alteroni,DN,0,The_Mysteries_of_London2
Count Santa - Croce,N,12,The_Mysteries_of_London2
Count Santa - Croce,C,0,The_Mysteries_of_London2
Count Santa - Croce,I,1,The_Mysteries_of_London2
Count Santa - Croce,A,4,The_Mysteries_of_London2
Count Santa - Croce,DC,2,The_Mysteries_of_London2
Count Santa - Croce,DN,0,The_Mysteries_of_London2
Count Swindeliski,N,5,The_Mysteries_of_London2
Count Swindeliski,C,3,The_Mysteries_of_London2
Count Swindeliski,I,2,The_Mysteries_of_London2
Count Swindeliski,A,4,The_Mysteries_of_London2
Count Swindeliski,DC,1,The_Mysteries_of_London2
Count Swindeliski,DN,2,The_Mysteries_of_London2
Crankey Jem,N,123,The_Mysteries_of_London2
Crankey Jem,C,77,The_Mysteries_of_London2
Crankey Jem,I,70,The_Mysteries_of_London2
Crankey Jem,A,102,The_Mysteries_of_London2
Crankey Jem,DC,61,The_Mysteries_of_London2
Crankey Jem,DN,11,The_Mysteries_of_London2
Crisp,N,41,The_Mysteries_of_London2
Crisp,C,23,The_Mysteries_of_London2
Crisp,I,11,The_Mysteries_of_London2
Crisp,A,13,The_Mysteries_of_London2
Crisp,DC,0,The_Mysteries_of_London2
Crisp,DN,3,The_Mysteries_of_London2
Crockford,N,17,The_Mysteries_of_London2
Crockford,C,7,The_Mysteries_of_London2
Crockford,I,4,The_Mysteries_of_London2
Crockford,A,10,The_Mysteries_of_London2
Crockford,DC,3,The_Mysteries_of_London2
Crockford,DN,4,The_Mysteries_of_London2
Diana,N,26,The_Mysteries_of_London2
Diana,C,17,The_Mysteries_of_London2
Diana,I,6,The_Mysteries_of_London2
Diana,A,24,The_Mysteries_of_London2
Diana,DC,0,The_Mysteries_of_London2
Diana,DN,5,The_Mysteries_of_London2
Dick,N,4,The_Mysteries_of_London2
Dick,C,0,The_Mysteries_of_London2
Dick,I,1,The_Mysteries_of_London2
Dick,A,3,The_Mysteries_of_London2
Dick,DC,3,The_Mysteries_of_London2
Dick,DN,0,The_Mysteries_of_London2
Dollabel,N,3,The_Mysteries_of_London2
Dollabel,C,0,The_Mysteries_of_London2
Dollabel,I,2,The_Mysteries_of_London2
Dollabel,A,4,The_Mysteries_of_London2
Dollabel,DC,1,The_Mysteries_of_London2
Dollabel,DN,1,The_Mysteries_of_London2
Dr. Pemberton,N,2,The_Mysteries_of_London2
Dr. Pemberton,C,2,The_Mysteries_of_London2
Dr. Pemberton,I,1,The_Mysteries_of_London2
Dr. Pemberton,A,4,The_Mysteries_of_London2
Dr. Pemberton,DC,0,The_Mysteries_of_London2
Dr. Pemberton,DN,0,The_Mysteries_of_London2
Egerton,N,232,The_Mysteries_of_London2
Egerton,C,125,The_Mysteries_of_London2
Egerton,I,62,The_Mysteries_of_London2
Egerton,A,107,The_Mysteries_of_London2
Egerton,DC,71,The_Mysteries_of_London2
Egerton,DN,8,The_Mysteries_of_London2
Eliza,N,215,The_Mysteries_of_London2
Eliza,C,203,The_Mysteries_of_London2
Eliza,I,85,The_Mysteries_of_London2
Eliza,A,132,The_Mysteries_of_London2
Eliza,DC,32,The_Mysteries_of_London2
Eliza,DN,12,The_Mysteries_of_London2
Ellen,N,396,The_Mysteries_of_London2
Ellen,C,317,The_Mysteries_of_London2
Ellen,I,153,The_Mysteries_of_London2
Ellen,A,238,The_Mysteries_of_London2
Ellen,DC,124,The_Mysteries_of_London2
Ellen,DN,27,The_Mysteries_of_London2
Estella,N,10,The_Mysteries_of_London2
Estella,C,0,The_Mysteries_of_London2
Estella,I,0,The_Mysteries_of_London2
Estella,A,1,The_Mysteries_of_London2
Estella,DC,5,The_Mysteries_of_London2
Estella,DN,1,The_Mysteries_of_London2
Eugene,N,58,The_Mysteries_of_London2
Eugene,C,28,The_Mysteries_of_London2
Eugene,I,21,The_Mysteries_of_London2
Eugene,A,32,The_Mysteries_of_London2
Eugene,DC,19,The_Mysteries_of_London2
Eugene,DN,5,The_Mysteries_of_London2
Eva,N,10,The_Mysteries_of_London2
Eva,C,3,The_Mysteries_of_London2
Eva,I,4,The_Mysteries_of_London2
Eva,A,0,The_Mysteries_of_London2
Eva,DC,4,The_Mysteries_of_London2
Eva,DN,0,The_Mysteries_of_London2
Farmer Bennet,N,5,The_Mysteries_of_London2
Farmer Bennet,C,3,The_Mysteries_of_London2
Farmer Bennet,I,3,The_Mysteries_of_London2
Farmer Bennet,A,3,The_Mysteries_of_London2
Farmer Bennet,DC,0,The_Mysteries_of_London2
Farmer Bennet,DN,1,The_Mysteries_of_London2
Father,N,2,The_Mysteries_of_London2
Father,C,0,The_Mysteries_of_London2
Father,I,0,The_Mysteries_of_London2
Father,A,2,The_Mysteries_of_London2
Father,DC,6,The_Mysteries_of_London2
Father,DN,0,The_Mysteries_of_London2
Ferdinand,N,2,The_Mysteries_of_London2
Ferdinand,C,0,The_Mysteries_of_London2
Ferdinand,I,0,The_Mysteries_of_London2
Ferdinand,A,0,The_Mysteries_of_London2
Ferdinand,DC,2,The_Mysteries_of_London2
Ferdinand,DN,0,The_Mysteries_of_London2
Filippo,N,40,The_Mysteries_of_London2
Filippo,C,12,The_Mysteries_of_London2
Filippo,I,5,The_Mysteries_of_London2
Filippo,A,17,The_Mysteries_of_London2
Filippo,DC,14,The_Mysteries_of_London2
Filippo,DN,0,The_Mysteries_of_London2
Flora,N,4,The_Mysteries_of_London2
Flora,C,0,The_Mysteries_of_London2
Flora,I,0,The_Mysteries_of_London2
Flora,A,1,The_Mysteries_of_London2
Flora,DC,6,The_Mysteries_of_London2
Flora,DN,0,The_Mysteries_of_London2
Fortune,N,6,The_Mysteries_of_London2
Fortune,C,0,The_Mysteries_of_London2
Fortune,I,1,The_Mysteries_of_London2
Fortune,A,1,The_Mysteries_of_London2
Fortune,DC,1,The_Mysteries_of_London2
Fortune,DN,1,The_Mysteries_of_London2
Fox,N,5,The_Mysteries_of_London2
Fox,C,0,The_Mysteries_of_London2
Fox,I,0,The_Mysteries_of_London2
Fox,A,2,The_Mysteries_of_London2
Fox,DC,0,The_Mysteries_of_London2
Fox,DN,1,The_Mysteries_of_London2
GIN,N,6,The_Mysteries_of_London2
GIN,C,0,The_Mysteries_of_London2
GIN,I,0,The_Mysteries_of_London2
GIN,A,0,The_Mysteries_of_London2
GIN,DC,0,The_Mysteries_of_London2
GIN,DN,0,The_Mysteries_of_London2
General Giustiniani,N,5,The_Mysteries_of_London2
General Giustiniani,C,0,The_Mysteries_of_London2
General Giustiniani,I,0,The_Mysteries_of_London2
General Giustiniani,A,2,The_Mysteries_of_London2
General Giustiniani,DC,0,The_Mysteries_of_London2
General Giustiniani,DN,0,The_Mysteries_of_London2
General Grachia,N,40,The_Mysteries_of_London2
General Grachia,C,11,The_Mysteries_of_London2
General Grachia,I,5,The_Mysteries_of_London2
General Grachia,A,14,The_Mysteries_of_London2
General Grachia,DC,24,The_Mysteries_of_London2
General Grachia,DN,1,The_Mysteries_of_London2
George the Fourth,N,8,The_Mysteries_of_London2
George the Fourth,C,0,The_Mysteries_of_London2
George the Fourth,I,1,The_Mysteries_of_London2
George the Fourth,A,0,The_Mysteries_of_London2
George the Fourth,DC,0,The_Mysteries_of_London2
George the Fourth,DN,1,The_Mysteries_of_London2
George the Third,N,9,The_Mysteries_of_London2
George the Third,C,0,The_Mysteries_of_London2
George the Third,I,1,The_Mysteries_of_London2
George the Third,A,4,The_Mysteries_of_London2
George the Third,DC,0,The_Mysteries_of_London2
George the Third,DN,1,The_Mysteries_of_London2
Gibbet,N,74,The_Mysteries_of_London2
Gibbet,C,38,The_Mysteries_of_London2
Gibbet,I,58,The_Mysteries_of_London2
Gibbet,A,71,The_Mysteries_of_London2
Gibbet,DC,20,The_Mysteries_of_London2
Gibbet,DN,4,The_Mysteries_of_London2
God,N,119,The_Mysteries_of_London2
God,C,1,The_Mysteries_of_London2
God,I,20,The_Mysteries_of_London2
God,A,23,The_Mysteries_of_London2
God,DC,57,The_Mysteries_of_London2
God,DN,3,The_Mysteries_of_London2
Goldshig,N,8,The_Mysteries_of_London2
Goldshig,C,0,The_Mysteries_of_London2
Goldshig,I,0,The_Mysteries_of_London2
Goldshig,A,1,The_Mysteries_of_London2
Goldshig,DC,0,The_Mysteries_of_London2
Goldshig,DN,0,The_Mysteries_of_London2
Greenwood,N,419,The_Mysteries_of_London2
Greenwood,C,360,The_Mysteries_of_London2
Greenwood,I,226,The_Mysteries_of_London2
Greenwood,A,383,The_Mysteries_of_London2
Greenwood,DC,137,The_Mysteries_of_London2
Greenwood,DN,41,The_Mysteries_of_London2
Harriet,N,121,The_Mysteries_of_London2
Harriet,C,0,The_Mysteries_of_London2
Harriet,I,41,The_Mysteries_of_London2
Harriet,A,73,The_Mysteries_of_London2
Harriet,DC,173,The_Mysteries_of_London2
Harriet,DN,12,The_Mysteries_of_London2
Henry Massey,N,3,The_Mysteries_of_London2
Henry Massey,C,1,The_Mysteries_of_London2
Henry Massey,I,3,The_Mysteries_of_London2
Henry Massey,A,7,The_Mysteries_of_London2
Henry Massey,DC,0,The_Mysteries_of_London2
Henry Massey,DN,0,The_Mysteries_of_London2
Holford,N,118,The_Mysteries_of_London2
Holford,C,79,The_Mysteries_of_London2
Holford,I,77,The_Mysteries_of_London2
Holford,A,126,The_Mysteries_of_London2
Holford,DC,25,The_Mysteries_of_London2
Holford,DN,13,The_Mysteries_of_London2
Illustration,N,11,The_Mysteries_of_London2
Illustration,C,46,The_Mysteries_of_London2
Illustration,I,46,The_Mysteries_of_London2
Illustration,A,52,The_Mysteries_of_London2
Illustration,DC,0,The_Mysteries_of_London2
Illustration,DN,0,The_Mysteries_of_London2
Isabel,N,7,The_Mysteries_of_London2
Isabel,C,3,The_Mysteries_of_London2
Isabel,I,0,The_Mysteries_of_London2
Isabel,A,1,The_Mysteries_of_London2
Isabel,DC,3,The_Mysteries_of_London2
Isabel,DN,0,The_Mysteries_of_London2
Isabella,N,170,The_Mysteries_of_London2
Isabella,C,64,The_Mysteries_of_London2
Isabella,I,41,The_Mysteries_of_London2
Isabella,A,40,The_Mysteries_of_London2
Isabella,DC,65,The_Mysteries_of_London2
Isabella,DN,6,The_Mysteries_of_London2
Jack,N,14,The_Mysteries_of_London2
Jack,C,0,The_Mysteries_of_London2
Jack,I,2,The_Mysteries_of_London2
Jack,A,2,The_Mysteries_of_London2
